team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
12685,Trace Esports,1,2025/07/06,W,2:1,JDG Esports,VCT 25: CN Stage 2,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
12685,Trace Esports,2,2025/05/15,L,0:2,Bilibili Gaming,HERO ESPORTS ACL 25,https://www.vlr.gg/481655/bilibili-gaming-vs-trace-esports-hero-esports-asian-champions-league-2025-lr2
12685,Trace Esports,3,2025/05/14,W,2:1,ZETA DIVISION,HERO ESPORTS ACL 25,https://www.vlr.gg/481653/trace-esports-vs-zeta-division-hero-esports-asian-champions-league-2025-lr1
12685,Trace Esports,4,2025/05/11,W,3:0,Wolves Esports,CN EVO 25: Act 2 X ACL,https://www.vlr.gg/485381/trace-esports-vs-wolves-esports-china-evolution-series-act-2-x-asian-champions-league-cf
12685,Trace Esports,5,2025/05/10,L,0:2,EDward Gaming,CN EVO 25: Act 2 X ACL,https://www.vlr.gg/485378/edward-gaming-vs-trace-esports-china-evolution-series-act-2-x-asian-champions-league-sf
12685,Trace Esports,6,2025/05/09,W,2:1,Nova Esports,CN EVO 25: Act 2 X ACL,https://www.vlr.gg/485375/trace-esports-vs-nova-esports-china-evolution-series-act-2-x-asian-champions-league-qf
12685,Trace Esports,7,2025/04/20,L,0:2,Bilibili Gaming,VCT 25: CN Stage 1,https://www.vlr.gg/473240/bilibili-gaming-vs-trace-esports-champions-tour-2025-china-stage-1-lr2
12685,Trace Esports,8,2025/04/18,W,2:0,Nova Esports,VCT 25: CN Stage 1,https://www.vlr.gg/473236/nova-esports-vs-trace-esports-champions-tour-2025-china-stage-1-lr1
12685,Trace Esports,9,2025/04/12,W,2:1,Bilibili Gaming,VCT 25: CN Stage 1,https://www.vlr.gg/450074/bilibili-gaming-vs-trace-esports-champions-tour-2025-china-stage-1-w5
12685,Trace Esports,10,2025/04/06,L,1:2,Xi Lai Gaming,VCT 25: CN Stage 1,https://www.vlr.gg/450070/trace-esports-vs-xi-lai-gaming-champions-tour-2025-china-stage-1-w4
12685,Trace Esports,11,2025/03/27,W,2:0,JDG Esports,VCT 25: CN Stage 1,https://www.vlr.gg/450059/jdg-esports-vs-trace-esports-champions-tour-2025-china-stage-1-w3
12685,Trace Esports,12,2025/03/22,L,0:2,Wolves Esports,VCT 25: CN Stage 1,https://www.vlr.gg/450056/wolves-esports-vs-trace-esports-champions-tour-2025-china-stage-1-w2
12685,Trace Esports,13,2025/03/14,W,2:1,All Gamers,VCT 25: CN Stage 1,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
12685,Trace Esports,14,2025/02/23,L,0:2,T1,Masters Bangkok 2025,https://www.vlr.gg/449002/t1-vs-trace-esports-champions-tour-2025-masters-bangkok-r2-0-1
12685,Trace Esports,15,2025/02/21,L,0:2,G2 Esports,Masters Bangkok 2025,https://www.vlr.gg/448597/g2-esports-vs-trace-esports-champions-tour-2025-masters-bangkok-r1
12685,Trace Esports,16,2025/02/08,L,1:2,Nova Esports,CN EVO 25: Act 1,https://www.vlr.gg/440531/nova-esports-vs-trace-esports-china-evolution-series-act-1-ro12
12685,Trace Esports,17,2025/01/25,L,1:3,EDward Gaming,VCT 25: CN Kickoff,https://www.vlr.gg/430848/trace-esports-vs-edward-gaming-champions-tour-2025-china-kickoff-gf
12685,Trace Esports,18,2025/01/23,W,2:1,Bilibili Gaming,VCT 25: CN Kickoff,https://www.vlr.gg/430847/bilibili-gaming-vs-trace-esports-champions-tour-2025-china-kickoff-ubf
12685,Trace Esports,19,2025/01/20,W,2:0,EDward Gaming,VCT 25: CN Kickoff,https://www.vlr.gg/430846/trace-esports-vs-edward-gaming-champions-tour-2025-china-kickoff-ubsf
12685,Trace Esports,20,2025/01/17,W,2:0,Dragon Ranger Gaming,VCT 25: CN Kickoff,https://www.vlr.gg/430843/trace-esports-vs-dragon-ranger-gaming-champions-tour-2025-china-kickoff-ubqf
12685,Trace Esports,21,2024/12/13,L,0:2,EDward Gaming,Superb Cup,https://www.vlr.gg/428881/edward-gaming-vs-trace-esports-superb-cup-lr1
12685,Trace Esports,22,2024/12/11,W,2:0,All Gamers,Superb Cup,https://www.vlr.gg/427176/trace-esports-vs-all-gamers-superb-cup-d4
