team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
13790,Wolves Esports,1,2025/07/05,L,0:2,FunPlus Phoenix,VCT 25: CN Stage 2,https://www.vlr.gg/506933/wolves-esports-vs-funplus-phoenix-vct-2025-china-stage-2-w1
13790,Wolves Esports,2,2025/06/21,L,1:3,FNATIC,Masters Toronto 2025,https://www.vlr.gg/498634/wolves-esports-vs-fnatic-valorant-masters-toronto-2025-lbf
13790,Wolves Esports,3,2025/06/20,L,0:2,Paper Rex,Masters Toronto 2025,https://www.vlr.gg/498627/paper-rex-vs-wolves-esports-valorant-masters-toronto-2025-ubf
13790,Wolves Esports,4,2025/06/16,W,2:0,Gen.G,Masters Toronto 2025,https://www.vlr.gg/498626/wolves-esports-vs-gen-g-valorant-masters-toronto-2025-ubsf
13790,Wolves Esports,5,2025/06/14,W,2:0,Rex Regum Qeon,Masters Toronto 2025,https://www.vlr.gg/498623/rex-regum-qeon-vs-wolves-esports-valorant-masters-toronto-2025-ubqf
13790,Wolves Esports,6,2025/06/11,W,2:0,Bilibili Gaming,Masters Toronto 2025,https://www.vlr.gg/490315/bilibili-gaming-vs-wolves-esports-valorant-masters-2025-toronto-r3-1-1
13790,Wolves Esports,7,2025/06/10,W,2:0,Team Heretics,Masters Toronto 2025,https://www.vlr.gg/490312/team-heretics-vs-wolves-esports-valorant-masters-2025-toronto-r2-0-1
13790,Wolves Esports,8,2025/06/08,L,0:2,Sentinels,Masters Toronto 2025,https://www.vlr.gg/490308/sentinels-vs-wolves-esports-champions-tour-2025-masters-toronto-r1
13790,Wolves Esports,9,2025/05/11,L,0:3,Trace Esports,CN EVO 25: Act 2 X ACL,https://www.vlr.gg/485381/trace-esports-vs-wolves-esports-china-evolution-series-act-2-x-asian-champions-league-cf
13790,Wolves Esports,10,2025/05/10,L,1:2,Titan Esports Club,CN EVO 25: Act 2 X ACL,https://www.vlr.gg/485379/titan-esports-club-vs-wolves-esports-china-evolution-series-act-2-x-asian-champions-league-sf
13790,Wolves Esports,11,2025/05/09,W,2:1,TYLOO,CN EVO 25: Act 2 X ACL,https://www.vlr.gg/485377/wolves-esports-vs-tyloo-china-evolution-series-act-2-x-asian-champions-league-qf
13790,Wolves Esports,12,2025/05/03,L,0:3,Bilibili Gaming,VCT 25: CN Stage 1,https://www.vlr.gg/473243/wolves-esports-vs-bilibili-gaming-champions-tour-2025-china-stage-1-lbf
13790,Wolves Esports,13,2025/05/02,L,0:2,Xi Lai Gaming,VCT 25: CN Stage 1,https://www.vlr.gg/473241/wolves-esports-vs-xi-lai-gaming-champions-tour-2025-china-stage-1-ubf
13790,Wolves Esports,14,2025/04/19,W,2:0,Bilibili Gaming,VCT 25: CN Stage 1,https://www.vlr.gg/473237/bilibili-gaming-vs-wolves-esports-champions-tour-2025-china-stage-1-ubsf
13790,Wolves Esports,15,2025/04/17,W,2:0,Titan Esports Club,VCT 25: CN Stage 1,https://www.vlr.gg/473233/titan-esports-club-vs-wolves-esports-champions-tour-2025-china-stage-1-ur1
13790,Wolves Esports,16,2025/04/12,W,2:1,All Gamers,VCT 25: CN Stage 1,https://www.vlr.gg/450073/wolves-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w5
13790,Wolves Esports,17,2025/04/04,L,1:2,Bilibili Gaming,VCT 25: CN Stage 1,https://www.vlr.gg/450066/bilibili-gaming-vs-wolves-esports-champions-tour-2025-china-stage-1-w4
