player_name,team,rating,match_number,match_url
zander,100T,1.15,1,https://www.vlr.gg/510146/100-thieves-vs-edward-gaming-esports-world-cup-2025-elim-d
eeiu,100T,1.06,1,https://www.vlr.gg/510146/100-thieves-vs-edward-gaming-esports-world-cup-2025-elim-d
Cryocells,100T,1.03,1,https://www.vlr.gg/510146/100-thieves-vs-edward-gaming-esports-world-cup-2025-elim-d
Asuna,100T,1.03,1,https://www.vlr.gg/510146/100-thieves-vs-edward-gaming-esports-world-cup-2025-elim-d
Boostio,100T,0.41,1,https://www.vlr.gg/510146/100-thieves-vs-edward-gaming-esports-world-cup-2025-elim-d
ZmjjKK,EDG,1.45,1,https://www.vlr.gg/510146/100-thieves-vs-edward-gaming-esports-world-cup-2025-elim-d
nobody,EDG,1.06,1,https://www.vlr.gg/510146/100-thieves-vs-edward-gaming-esports-world-cup-2025-elim-d
CHICHOO,EDG,1.06,1,https://www.vlr.gg/510146/100-thieves-vs-edward-gaming-esports-world-cup-2025-elim-d
Smoggy,EDG,0.93,1,https://www.vlr.gg/510146/100-thieves-vs-edward-gaming-esports-world-cup-2025-elim-d
zjc,EDG,0.87,1,https://www.vlr.gg/510146/100-thieves-vs-edward-gaming-esports-world-cup-2025-elim-d
eeiu,100T,1.33,2,https://www.vlr.gg/510143/100-thieves-vs-fnatic-esports-world-cup-2025-opening-d
zander,100T,0.98,2,https://www.vlr.gg/510143/100-thieves-vs-fnatic-esports-world-cup-2025-opening-d
Asuna,100T,0.84,2,https://www.vlr.gg/510143/100-thieves-vs-fnatic-esports-world-cup-2025-opening-d
Cryocells,100T,0.73,2,https://www.vlr.gg/510143/100-thieves-vs-fnatic-esports-world-cup-2025-opening-d
Boostio,100T,0.57,2,https://www.vlr.gg/510143/100-thieves-vs-fnatic-esports-world-cup-2025-opening-d
kaajak,FNC,1.4,2,https://www.vlr.gg/510143/100-thieves-vs-fnatic-esports-world-cup-2025-opening-d
Chronicle,FNC,1.3,2,https://www.vlr.gg/510143/100-thieves-vs-fnatic-esports-world-cup-2025-opening-d
crashies,FNC,0.96,2,https://www.vlr.gg/510143/100-thieves-vs-fnatic-esports-world-cup-2025-2opening-d
Boaster,FNC,0.83,2,https://www.vlr.gg/510143/100-thieves-vs-fnatic-esports-world-cup-2025-opening-d
Alfajer,FNC,0.74,2,https://www.vlr.gg/510143/100-thieves-vs-fnatic-esports-world-cup-2025-opening-d
Asuna,100T,1.13,3,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
Cryocells,100T,1.06,3,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
eeiu,100T,1.05,3,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
zander,100T,1.0,3,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
Boostio,100T,0.68,3,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
aspas,MIBR,1.32,3,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
cortezia,MIBR,1.05,3,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
Verno,MIBR,0.93,3,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
artzin,MIBR,0.88,3,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
xenom,MIBR,0.81,3,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
s0m,NRG,1.31,4,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
brawk,NRG,1.13,4,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
mada,NRG,1.07,4,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
skuba,NRG,1.04,4,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
Ethan,NRG,0.97,4,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
eeiu,100T,1.17,4,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
zander,100T,1.0,4,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
Cryocells,100T,0.95,4,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
Asuna,100T,0.66,4,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
Boostio,100T,0.65,4,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
yay,EG,1.06,5,https://www.vlr.gg/488017/evil-geniuses-vs-100-thieves-esports-world-cup-2025-opening
NaturE,EG,0.94,5,https://www.vlr.gg/488017/evil-geniuses-vs-100-thieves-esports-world-cup-2025-opening
supamen,EG,0.86,5,https://www.vlr.gg/488017/evil-geniuses-vs-100-thieves-esports-world-cup-2025-opening
