player_name,team,rating,match_number,match_url
Lysoar,WOL,1.62,3,https://www.vlr.gg/450073/wolves-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w5
Juicy,WOL,1.58,3,https://www.vlr.gg/450073/wolves-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w5
Spring,WOL,1.51,3,https://www.vlr.gg/450073/wolves-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w5
SiuFatBB,WOL,0.96,3,https://www.vlr.gg/450073/wolves-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w5
Yuicaw,WOL,0.72,3,https://www.vlr.gg/450073/wolves-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w5
Bai,AG,0.99,3,https://www.vlr.gg/450073/wolves-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w5
K1ra,AG,0.9,3,https://www.vlr.gg/450073/wolves-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w5
HanChe,AG,0.69,3,https://www.vlr.gg/450073/wolves-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w5
Lsn,AG,0.65,3,https://www.vlr.gg/450073/wolves-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w5
deLb,AG,0.31,3,https://www.vlr.gg/450073/wolves-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w5
K1ra,AG,1.04,4,https://www.vlr.gg/450067/all-gamers-vs-jdg-esports-champions-tour-2025-china-stage-1-w4
deLb,AG,0.91,4,https://www.vlr.gg/450067/all-gamers-vs-jdg-esports-champions-tour-2025-china-stage-1-w4
Bai,AG,0.86,4,https://www.vlr.gg/450067/all-gamers-vs-jdg-esports-champions-tour-2025-china-stage-1-w4
Lsn,AG,0.77,4,https://www.vlr.gg/450067/all-gamers-vs-jdg-esports-champions-tour-2025-china-stage-1-w4
HanChe,AG,0.71,4,https://www.vlr.gg/450067/all-gamers-vs-jdg-esports-champions-tour-2025-china-stage-1-w4
stew,JDG,1.58,4,https://www.vlr.gg/450067/all-gamers-vs-jdg-esports-champions-tour-2025-china-stage-1-w4
Z1yan,JDG,1.16,4,https://www.vlr.gg/450067/all-gamers-vs-jdg-esports-champions-tour-2025-china-stage-1-w4
Babyblue,JDG,1.04,4,https://www.vlr.gg/450067/all-gamers-vs-jdg-esports-champions-tour-2025-china-stage-1-w4
jkuro,JDG,0.96,4,https://www.vlr.gg/450067/all-gamers-vs-jdg-esports-champions-tour-2025-china-stage-1-w4
MrCANI,JDG,0.95,4,https://www.vlr.gg/450067/all-gamers-vs-jdg-esports-champions-tour-2025-china-stage-1-w4
K1ra,AG,1.03,5,https://www.vlr.gg/450064/all-gamers-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w3
Lsn,AG,0.74,5,https://www.vlr.gg/450064/all-gamers-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w3
player,AG,0.7,5,https://www.vlr.gg/450064/all-gamers-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w3
HanChe,AG,0.68,5,https://www.vlr.gg/450064/all-gamers-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w3
deLb,AG,0.56,5,https://www.vlr.gg/450064/all-gamers-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w3
whzy,BLG,1.73,5,https://www.vlr.gg/450064/all-gamers-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w3
nephh,BLG,1.41,5,https://www.vlr.gg/450064/all-gamers-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w3
Levius,BLG,1.2,5,https://www.vlr.gg/450064/all-gamers-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w3
Knight,BLG,1.17,5,https://www.vlr.gg/450064/all-gamers-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w3
rushia,BLG,0.94,5,https://www.vlr.gg/450064/all-gamers-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w3
Kr1stal,GE,1.46,14,https://www.vlr.gg/422761/global-esports-vs-all-gamers-global-esports-face-off-main-event
kellyS,GE,1.34,14,https://www.vlr.gg/422761/global-esports-vs-all-gamers-global-esports-face-off-main-event
UdoTan,GE,1.27,14,https://www.vlr.gg/422761/global-esports-vs-all-gamers-global-esports-face-off-main-event
Papi,GE,1.07,14,https://www.vlr.gg/422761/global-esports-vs-all-gamers-global-esports-face-off-main-event
yokam,GE,1.01,14,https://www.vlr.gg/422761/global-esports-vs-all-gamers-global-esports-face-off-main-event
BugattiVeyron,AG,1.04,14,https://www.vlr.gg/422761/global-esports-vs-all-gamers-global-esports-face-off-main-event
TLN,AG,1.0,14,https://www.vlr.gg/422761/global-esports-vs-all-gamers-global-esports-face-off-main-event
ca1m,AG,0.85,14,https://www.vlr.gg/422761/global-esports-vs-all-gamers-global-esports-face-off-main-event
RGYNB,AG,0.69,14,https://www.vlr.gg/422761/global-esports-vs-all-gamers-global-esports-face-off-main-event
bunt,AG,0.66,14,https://www.vlr.gg/422761/global-esports-vs-all-gamers-global-esports-face-off-main-event
wdknahnw,AG,0.39,14,https://www.vlr.gg/422761/global-esports-vs-all-gamers-global-esports-face-off-main-event
0n1y,KBG,1.26,45,https://www.vlr.gg/211806/keepbest-gaming-vs-all-gamers-spring-gauntlet-2023-invitational-lr2
x8,KBG,1.2,45,https://www.vlr.gg/211806/keepbest-gaming-vs-all-gamers-spring-gauntlet-2023-invitational-lr2
KOKORO,KBG,1.08,45,https://www.vlr.gg/211806/keepbest-gaming-vs-all-gamers-spring-gauntlet-2023-invitational-lr2
Lyu,KBG,1.04,45,https://www.vlr.gg/211806/keepbest-gaming-vs-all-gamers-spring-gauntlet-2023-invitational-lr2
River,KBG,0.86,45,https://www.vlr.gg/211806/keepbest-gaming-vs-all-gamers-spring-gauntlet-2023-invitational-lr2
Kirito,AG,1.06,45,https://www.vlr.gg/211806/keepbest-gaming-vs-all-gamers-spring-gauntlet-2023-invitational-lr2
lraliz,AG,1.05,45,https://www.vlr.gg/211806/keepbest-gaming-vs-all-gamers-spring-gauntlet-2023-invitational-lr2
L4wudu,AG,1.04,45,https://www.vlr.gg/211806/keepbest-gaming-vs-all-gamers-spring-gauntlet-2023-invitational-lr2
CreamTAT,AG,0.84,45,https://www.vlr.gg/211806/keepbest-gaming-vs-all-gamers-spring-gauntlet-2023-invitational-lr2
Soulwill,AG,0.69,45,https://www.vlr.gg/211806/keepbest-gaming-vs-all-gamers-spring-gauntlet-2023-invitational-lr2
o0o0o,NOVA,1.53,46,https://www.vlr.gg/211789/nova-esports-vs-all-gamers-spring-gauntlet-2023-invitational-ro16
JL,NOVA,1.27,46,https://www.vlr.gg/211789/nova-esports-vs-all-gamers-spring-gauntlet-2023-invitational-ro16
wqc,NOVA,1.24,46,https://www.vlr.gg/211789/nova-esports-vs-all-gamers-spring-gauntlet-2023-invitational-ro16
PangH,NOVA,1.1,46,https://www.vlr.gg/211789/nova-esports-vs-all-gamers-spring-gauntlet-2023-invitational-ro16
OBONE,NOVA,1.08,46,https://www.vlr.gg/211789/nova-esports-vs-all-gamers-spring-gauntlet-2023-invitational-ro16
Soulwill,AG,0.88,46,https://www.vlr.gg/211789/nova-esports-vs-all-gamers-spring-gauntlet-2023-invitational-ro16
Kirito,AG,0.87,46,https://www.vlr.gg/211789/nova-esports-vs-all-gamers-spring-gauntlet-2023-invitational-ro16
lraliz,AG,0.79,46,https://www.vlr.gg/211789/nova-esports-vs-all-gamers-spring-gauntlet-2023-invitational-ro16
L4wudu,AG,0.68,46,https://www.vlr.gg/211789/nova-esports-vs-all-gamers-spring-gauntlet-2023-invitational-ro16
CreamTAT,AG,0.53,46,https://www.vlr.gg/211789/nova-esports-vs-all-gamers-spring-gauntlet-2023-invitational-ro16
Uta,JJH,1.42,47,https://www.vlr.gg/202393/jijiehao-vs-all-gamers-fgc-valorant-invitational-2023-act-2-qualifiers-ro16
SiuFatBB,JJH,1.29,47,https://www.vlr.gg/202393/jijiehao-vs-all-gamers-fgc-valorant-invitational-2023-act-2-qualifiers-ro16
LockM,JJH,1.25,47,https://www.vlr.gg/202393/jijiehao-vs-all-gamers-fgc-valorant-invitational-2023-act-2-qualifiers-ro16
Shr1mp,JJH,1.24,47,https://www.vlr.gg/202393/jijiehao-vs-all-gamers-fgc-valorant-invitational-2023-act-2-qualifiers-ro16
Fayde,JJH,1.13,47,https://www.vlr.gg/202393/jijiehao-vs-all-gamers-fgc-valorant-invitational-2023-act-2-qualifiers-ro16
lraliz,AG,0.89,47,https://www.vlr.gg/202393/jijiehao-vs-all-gamers-fgc-valorant-invitational-2023-act-2-qualifiers-ro16
Soulwill,AG,0.77,47,https://www.vlr.gg/202393/jijiehao-vs-all-gamers-fgc-valorant-invitational-2023-act-2-qualifiers-ro16
CreamTAT,AG,0.75,47,https://www.vlr.gg/202393/jijiehao-vs-all-gamers-fgc-valorant-invitational-2023-act-2-qualifiers-ro16
Kirito,AG,0.64,47,https://www.vlr.gg/202393/jijiehao-vs-all-gamers-fgc-valorant-invitational-2023-act-2-qualifiers-ro16
L4wudu,AG,0.5,47,https://www.vlr.gg/202393/jijiehao-vs-all-gamers-fgc-valorant-invitational-2023-act-2-qualifiers-ro16
Hao,KZ,1.82,48,https://www.vlr.gg/198830/kingzone-vs-all-gamers-fgc-valorant-invitational-2023-act-2-qualifiers-ro16
xYU,KZ,1.46,48,https://www.vlr.gg/198830/kingzone-vs-all-gamers-fgc-valorant-invitational-2023-act-2-qualifiers-ro16
abc321,KZ,1.28,48,https://www.vlr.gg/198830/kingzone-vs-all-gamers-fgc-valorant-invitational-2023-act-2-qualifiers-ro16
Lucifer,KZ,1.14,48,https://www.vlr.gg/198830/kingzone-vs-all-gamers-fgc-valorant-invitational-2023-act-2-qualifiers-ro16
Zeno,KZ,0.66,48,https://www.vlr.gg/198830/kingzone-vs-all-gamers-fgc-valorant-invitational-2023-act-2-qualifiers-ro16
L4wudu,AG,1.01,48,https://www.vlr.gg/198830/kingzone-vs-all-gamers-fgc-valorant-invitational-2023-act-2-qualifiers-ro16
Soulwill,AG,0.91,48,https://www.vlr.gg/198830/kingzone-vs-all-gamers-fgc-valorant-invitational-2023-act-2-qualifiers-ro16
lraliz,AG,0.68,48,https://www.vlr.gg/198830/kingzone-vs-all-gamers-fgc-valorant-invitational-2023-act-2-qualifiers-ro16
