player_name,team,rating,match_number,match_url
MOLSI,APK,1.34,1,https://www.vlr.gg/487992/apeks-vs-giantx-esports-world-cup-2025-lr1
batujnax,APK,1.03,1,https://www.vlr.gg/487992/apeks-vs-giantx-esports-world-cup-2025-lr1
SimonD4rk,APK,0.86,1,https://www.vlr.gg/487992/apeks-vs-giantx-esports-world-cup-2025-lr1
Tag,APK,0.69,1,https://www.vlr.gg/487992/apeks-vs-giantx-esports-world-cup-2025-lr1
AvovA,APK,0.59,1,https://www.vlr.gg/487992/apeks-vs-giantx-esports-world-cup-2025-lr1
ara,GX,1.34,1,https://www.vlr.gg/487992/apeks-vs-giantx-esports-world-cup-2025-lr1
Cloud,GX,1.22,1,https://www.vlr.gg/487992/apeks-vs-giantx-esports-world-cup-2025-lr1
grubinho,GX,1.2,1,https://www.vlr.gg/487992/apeks-vs-giantx-esports-world-cup-2025-lr1
Flickless,GX,1.04,1,https://www.vlr.gg/487992/apeks-vs-giantx-esports-world-cup-2025-lr1
westside,GX,0.96,1,https://www.vlr.gg/487992/apeks-vs-giantx-esports-world-cup-2025-lr1
AtaKaptan,FUT,1.22,2,https://www.vlr.gg/487985/fut-esports-vs-apeks-esports-world-cup-2025-ubqf
qRaxs,FUT,1.21,2,https://www.vlr.gg/487985/fut-esports-vs-apeks-esports-world-cup-2025-ubqf
yetujey,FUT,1.16,2,https://www.vlr.gg/487985/fut-esports-vs-apeks-esports-world-cup-2025-ubqf
xeus,FUT,1.03,2,https://www.vlr.gg/487985/fut-esports-vs-apeks-esports-world-cup-2025-ubqf
MrFaliN,FUT,0.91,2,https://www.vlr.gg/487985/fut-esports-vs-apeks-esports-world-cup-2025-ubqf
SimonD4rk,APK,1.22,2,https://www.vlr.gg/487985/fut-esports-vs-apeks-esports-world-cup-2025-ubqf
batujnax,APK,1.0,2,https://www.vlr.gg/487985/fut-esports-vs-apeks-esports-world-cup-2025-ubqf
AvovA,APK,0.95,2,https://www.vlr.gg/487985/fut-esports-vs-apeks-esports-world-cup-2025-ubqf
MOLSI,APK,0.64,2,https://www.vlr.gg/487985/fut-esports-vs-apeks-esports-world-cup-2025-ubqf
Tag,APK,0.58,2,https://www.vlr.gg/487985/fut-esports-vs-apeks-esports-world-cup-2025-ubqf
Cloud,GX,1.37,3,https://www.vlr.gg/459853/giantx-vs-apeks-champions-tour-2025-emea-stage-1-w5
ara,GX,1.29,3,https://www.vlr.gg/459853/giantx-vs-apeks-champions-tour-2025-emea-stage-1-w5
westside,GX,1.18,3,https://www.vlr.gg/459853/giantx-vs-apeks-champions-tour-2025-emea-stage-1-w5
runneR,GX,1.11,3,https://www.vlr.gg/459853/giantx-vs-apeks-champions-tour-2025-emea-stage-1-w5
Flickless,GX,0.87,3,https://www.vlr.gg/459853/giantx-vs-apeks-champions-tour-2025-emea-stage-1-w5
florescent,APK,1.41,3,https://www.vlr.gg/459853/giantx-vs-apeks-champions-tour-2025-emea-stage-1-w5
MOLSI,APK,1.01,3,https://www.vlr.gg/459853/giantx-vs-apeks-champions-tour-2025-emea-stage-1-w5
AvovA,APK,0.73,3,https://www.vlr.gg/459853/giantx-vs-apeks-champions-tour-2025-emea-stage-1-w5
batujnax,APK,0.51,3,https://www.vlr.gg/459853/giantx-vs-apeks-champions-tour-2025-emea-stage-1-w5
Governor,APK,0.42,3,https://www.vlr.gg/459853/giantx-vs-apeks-champions-tour-2025-emea-stage-1-w5
Kicks,VIT,1.79,4,https://www.vlr.gg/459845/team-vitality-vs-apeks-champions-tour-2025-emea-stage-1-w4
Less,VIT,1.1,4,https://www.vlr.gg/459845/team-vitality-vs-apeks-champions-tour-2025-emea-stage-1-w4
CyvOph,VIT,1.07,4,https://www.vlr.gg/459845/team-vitality-vs-apeks-champions-tour-2025-emea-stage-1-w4
