player_name,team,rating,match_number,match_url
SUYGETSU,KC,1.27,1,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
saadhak,KC,1.26,1,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
Avez,KC,1.23,1,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
Elite,KC,0.86,1,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
marteen,KC,0.82,1,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
Knight,BLG,1.12,1,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
whzy,BLG,1.04,1,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
nephh,BLG,1.0,1,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
rushia,BLG,0.78,1,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
Levius,BLG,0.68,1,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
whzy,BLG,1.16,2,https://www.vlr.gg/510131/bilibili-gaming-vs-g2-esports-esports-world-cup-2025-elim-a
nephh,BLG,1.13,2,https://www.vlr.gg/510131/bilibili-gaming-vs-g2-esports-esports-world-cup-2025-elim-a
rushia,BLG,1.08,2,https://www.vlr.gg/510131/bilibili-gaming-vs-g2-esports-esports-world-cup-2025-elim-a
Knight,BLG,1.04,2,https://www.vlr.gg/510131/bilibili-gaming-vs-g2-esports-esports-world-cup-2025-elim-a
Levius,BLG,0.81,2,https://www.vlr.gg/510131/bilibili-gaming-vs-g2-esports-esports-world-cup-2025-elim-a
trent,G2,1.02,2,https://www.vlr.gg/510131/bilibili-gaming-vs-g2-esports-esports-world-cup-2025-elim-a
valyn,G2,0.97,2,https://www.vlr.gg/510131/bilibili-gaming-vs-g2-esports-esports-world-cup-2025-elim-a
JonahP,G2,0.92,2,https://www.vlr.gg/510131/bilibili-gaming-vs-g2-esports-esports-world-cup-2025-elim-a
jawgemo,G2,0.92,2,https://www.vlr.gg/510131/bilibili-gaming-vs-g2-esports-esports-world-cup-2025-elim-a
shhhack,G2,0.91,2,https://www.vlr.gg/510131/bilibili-gaming-vs-g2-esports-esports-world-cup-2025-elim-a
d4v41,PRX,1.23,3,https://www.vlr.gg/510127/paper-rex-vs-bilibili-gaming-esports-world-cup-2025-opening-a
f0rsakeN,PRX,1.14,3,https://www.vlr.gg/510127/paper-rex-vs-bilibili-gaming-esports-world-cup-2025-opening-a
Jinggg,PRX,1.08,3,https://www.vlr.gg/510127/paper-rex-vs-bilibili-gaming-esports-world-cup-2025-opening-a
something,PRX,1.07,3,https://www.vlr.gg/510127/paper-rex-vs-bilibili-gaming-esports-world-cup-2025-opening-a
PatMen,PRX,0.63,3,https://www.vlr.gg/510127/paper-rex-vs-bilibili-gaming-esports-world-cup-2025-opening-a
whzy,BLG,1.25,3,https://www.vlr.gg/510127/paper-rex-vs-bilibili-gaming-esports-world-cup-2025-opening-a
rushia,BLG,1.04,3,https://www.vlr.gg/510127/paper-rex-vs-bilibili-gaming-esports-world-cup-2025-opening-a
Knight,BLG,0.91,3,https://www.vlr.gg/510127/paper-rex-vs-bilibili-gaming-esports-world-cup-2025-opening-a
nephh,BLG,0.9,3,https://www.vlr.gg/510127/paper-rex-vs-bilibili-gaming-esports-world-cup-2025-opening-a
Levius,BLG,0.72,3,https://www.vlr.gg/510127/paper-rex-vs-bilibili-gaming-esports-world-cup-2025-opening-a
rushia,BLG,1.43,4,https://www.vlr.gg/506931/bilibili-gaming-vs-tyloo-vct-2025-china-stage-2-w1
nephh,BLG,1.33,4,https://www.vlr.gg/506931/bilibili-gaming-vs-tyloo-vct-2025-china-stage-2-w1
Levius,BLG,1.2,4,https://www.vlr.gg/506931/bilibili-gaming-vs-tyloo-vct-2025-china-stage-2-w1
whzy,BLG,0.99,4,https://www.vlr.gg/506931/bilibili-gaming-vs-tyloo-vct-2025-china-stage-2-w1
Knight,BLG,0.98,4,https://www.vlr.gg/506931/bilibili-gaming-vs-tyloo-vct-2025-china-stage-2-w1
Scales,TYL,0.96,4,https://www.vlr.gg/506931/bilibili-gaming-vs-tyloo-vct-2025-china-stage-2-w1
Yoyo,TYL,0.92,4,https://www.vlr.gg/506931/bilibili-gaming-vs-tyloo-vct-2025-china-stage-2-w1
sword9,TYL,0.87,4,https://www.vlr.gg/506931/bilibili-gaming-vs-tyloo-vct-2025-china-stage-2-w1
