player_name,team,rating,match_number,match_url
OXY,C9,1.01,1,https://www.vlr.gg/488015/cloud9-vs-nrg-esports-world-cup-2025-lbf
v1c,C9,0.93,1,https://www.vlr.gg/488015/cloud9-vs-nrg-esports-world-cup-2025-lbf
mitch,C9,0.89,1,https://www.vlr.gg/488015/cloud9-vs-nrg-esports-world-cup-2025-lbf
Xeppaa,C9,0.78,1,https://www.vlr.gg/488015/cloud9-vs-nrg-esports-world-cup-2025-lbf
neT,C9,0.53,1,https://www.vlr.gg/488015/cloud9-vs-nrg-esports-world-cup-2025-lbf
mada,NRG,1.46,1,https://www.vlr.gg/488015/cloud9-vs-nrg-esports-world-cup-2025-lbf
brawk,NRG,1.25,1,https://www.vlr.gg/488015/cloud9-vs-nrg-esports-world-cup-2025-lbf
skuba,NRG,1.06,1,https://www.vlr.gg/488015/cloud9-vs-nrg-esports-world-cup-2025-lbf
Ethan,NRG,0.97,1,https://www.vlr.gg/488015/cloud9-vs-nrg-esports-world-cup-2025-lbf
s0m,NRG,0.91,1,https://www.vlr.gg/488015/cloud9-vs-nrg-esports-world-cup-2025-lbf
Cryocells,100T,1.33,2,https://www.vlr.gg/488009/100-thieves-vs-cloud9-esports-world-cup-2025-ubf
Asuna,100T,1.12,2,https://www.vlr.gg/488009/100-thieves-vs-cloud9-esports-world-cup-2025-ubf
Boostio,100T,1.01,2,https://www.vlr.gg/488009/100-thieves-vs-cloud9-esports-world-cup-2025-ubf
eeiu,100T,1.0,2,https://www.vlr.gg/488009/100-thieves-vs-cloud9-esports-world-cup-2025-ubf
zander,100T,0.97,2,https://www.vlr.gg/488009/100-thieves-vs-cloud9-esports-world-cup-2025-ubf
v1c,C9,1.12,2,https://www.vlr.gg/488009/100-thieves-vs-cloud9-esports-world-cup-2025-ubf
OXY,C9,1.03,2,https://www.vlr.gg/488009/100-thieves-vs-cloud9-esports-world-cup-2025-ubf
Xeppaa,C9,0.96,2,https://www.vlr.gg/488009/100-thieves-vs-cloud9-esports-world-cup-2025-ubf
neT,C9,0.87,2,https://www.vlr.gg/488009/100-thieves-vs-cloud9-esports-world-cup-2025-ubf
mitch,C9,0.63,2,https://www.vlr.gg/488009/100-thieves-vs-cloud9-esports-world-cup-2025-ubf
traded,KRÜ,1.15,3,https://www.vlr.gg/488008/kr-esports-vs-cloud9-esports-world-cup-2025-ubsf
nerve,KRÜ,1.02,3,https://www.vlr.gg/488008/kr-esports-vs-cloud9-esports-world-cup-2025-ubsf
Mazino,KRÜ,0.97,3,https://www.vlr.gg/488008/kr-esports-vs-cloud9-esports-world-cup-2025-ubsf
