player_name,team,rating,match_number,match_url
Akame,DFM,1.08,1,https://www.vlr.gg/458834/detonation-focusme-vs-boom-esports-champions-tour-2025-pacific-stage-1-w5
Meiy,DFM,1.03,1,https://www.vlr.gg/458834/detonation-focusme-vs-boom-esports-champions-tour-2025-pacific-stage-1-w5
gyen,DFM,0.96,1,https://www.vlr.gg/458834/detonation-focusme-vs-boom-esports-champions-tour-2025-pacific-stage-1-w5
Jinboong,DFM,0.73,1,https://www.vlr.gg/458834/detonation-focusme-vs-boom-esports-champions-tour-2025-pacific-stage-1-w5
Art,DFM,0.61,1,https://www.vlr.gg/458834/detonation-focusme-vs-boom-esports-champions-tour-2025-pacific-stage-1-w5
Shiro,BME,1.28,1,https://www.vlr.gg/458834/detonation-focusme-vs-boom-esports-champions-tour-2025-pacific-stage-1-w5
dos9,BME,1.22,1,https://www.vlr.gg/458834/detonation-focusme-vs-boom-esports-champions-tour-2025-pacific-stage-1-w5
Famouz,BME,1.1,1,https://www.vlr.gg/458834/detonation-focusme-vs-boom-esports-champions-tour-2025-pacific-stage-1-w5
NcSlasher,BME,1.05,1,https://www.vlr.gg/458834/detonation-focusme-vs-boom-esports-champions-tour-2025-pacific-stage-1-w5
BerserX,BME,0.95,1,https://www.vlr.gg/458834/detonation-focusme-vs-boom-esports-champions-tour-2025-pacific-stage-1-w5
Akame,DFM,1.35,2,https://www.vlr.gg/458828/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-stage-1-w4
gyen,DFM,1.12,2,https://www.vlr.gg/458828/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-stage-1-w4
Jinboong,DFM,0.89,2,https://www.vlr.gg/458828/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-stage-1-w4
Meiy,DFM,0.86,2,https://www.vlr.gg/458828/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-stage-1-w4
Art,DFM,0.6,2,https://www.vlr.gg/458828/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-stage-1-w4
Jinggg,PRX,1.39,2,https://www.vlr.gg/458828/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-stage-1-w4
something,PRX,1.28,2,https://www.vlr.gg/458828/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-stage-1-w4
PatMen,PRX,1.01,2,https://www.vlr.gg/458828/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-stage-1-w4
d4v41,PRX,0.92,2,https://www.vlr.gg/458828/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-stage-1-w4
f0rsakeN,PRX,0.79,2,https://www.vlr.gg/458828/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-stage-1-w4
Karon,GEN,1.43,3,https://www.vlr.gg/458817/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w3
Foxy9,GEN,1.43,3,https://www.vlr.gg/458817/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w3
Ash,GEN,1.34,3,https://www.vlr.gg/458817/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w3
Munchkin,GEN,1.25,3,https://www.vlr.gg/458817/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w3
t3xture,GEN,1.04,3,https://www.vlr.gg/458817/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w3
gyen,DFM,0.94,3,https://www.vlr.gg/458817/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w3
Akame,DFM,0.88,3,https://www.vlr.gg/458817/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w3
Jinboong,DFM,0.7,3,https://www.vlr.gg/458817/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w3
Meiy,DFM,0.55,3,https://www.vlr.gg/458817/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w3
Art,DFM,0.51,3,https://www.vlr.gg/458817/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w3
free1ng,DRX,1.54,4,https://www.vlr.gg/458814/drx-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w2
MaKo,DRX,1.24,4,https://www.vlr.gg/458814/drx-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w2
HYUNMIN,DRX,1.1,4,https://www.vlr.gg/458814/drx-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w2
Flashback,DRX,1.09,4,https://www.vlr.gg/458814/drx-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w2
BeYN,DRX,1.04,4,https://www.vlr.gg/458814/drx-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w2
Meiy,DFM,0.96,4,https://www.vlr.gg/458814/drx-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w2
Akame,DFM,0.95,4,https://www.vlr.gg/458814/drx-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w2
gyen,DFM,0.74,4,https://www.vlr.gg/458814/drx-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w2
Art,DFM,0.71,4,https://www.vlr.gg/458814/drx-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w2
Jinboong,DFM,0.47,4,https://www.vlr.gg/458814/drx-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w2
Akame,DFM,1.04,5,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
Meiy,DFM,1.04,5,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
Jinboong,DFM,1.04,5,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
gyen,DFM,0.84,5,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
Art,DFM,0.59,5,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
Kr1stal,GE,1.36,5,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
kellyS,GE,1.21,5,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
Papi,GE,1.03,5,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
UdoTan,GE,1.02,5,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
yokam,GE,0.71,5,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
Munchkin,GEN,1.36,6,https://www.vlr.gg/430533/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-kickoff-lr3
Foxy9,GEN,1.18,6,https://www.vlr.gg/430533/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-kickoff-lr3
yoman,GEN,1.17,6,https://www.vlr.gg/430533/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-kickoff-lr3
Karon,GEN,1.15,6,https://www.vlr.gg/430533/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-kickoff-lr3
t3xture,GEN,1.0,6,https://www.vlr.gg/430533/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-kickoff-lr3
Akame,DFM,1.02,6,https://www.vlr.gg/430533/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-kickoff-lr3
Meiy,DFM,0.86,6,https://www.vlr.gg/430533/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-kickoff-lr3
Art,DFM,0.81,6,https://www.vlr.gg/430533/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-kickoff-lr3
Jinboong,DFM,0.7,6,https://www.vlr.gg/430533/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-kickoff-lr3
gyen,DFM,0.67,6,https://www.vlr.gg/430533/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-kickoff-lr3
Meiy,DFM,1.5,7,https://www.vlr.gg/430531/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-kickoff-lr2
gyen,DFM,1.46,7,https://www.vlr.gg/430531/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-kickoff-lr2
Jinboong,DFM,1.15,7,https://www.vlr.gg/430531/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-kickoff-lr2
Art,DFM,1.05,7,https://www.vlr.gg/430531/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-kickoff-lr2
Akame,DFM,1.04,7,https://www.vlr.gg/430531/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-kickoff-lr2
f0rsakeN,PRX,1.07,7,https://www.vlr.gg/430531/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-kickoff-lr2
