player_name,team,rating,match_number,match_url
HYUNMIN,DRX,1.06,1,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
free1ng,DRX,1.05,1,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
MaKo,DRX,0.57,1,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
BeYN,DRX,0.55,1,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
Flicker,DRX,0.42,1,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
N4RRATE,SEN,1.72,1,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
johnqt,SEN,1.46,1,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
zekken,SEN,1.2,1,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
bang,SEN,1.18,1,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
Zellsis,SEN,1.04,1,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
Jamppi,BBL,1.32,2,https://www.vlr.gg/510135/bbl-esports-vs-drx-esports-world-cup-2025-winners-b
LewN,BBL,1.15,2,https://www.vlr.gg/510135/bbl-esports-vs-drx-esports-world-cup-2025-winners-b
PROFEK,BBL,1.11,2,https://www.vlr.gg/510135/bbl-esports-vs-drx-esports-world-cup-2025-winners-b
MAGNUM,BBL,1.08,2,https://www.vlr.gg/510135/bbl-esports-vs-drx-esports-world-cup-2025-winners-b
sociablEE,BBL,1.06,2,https://www.vlr.gg/510135/bbl-esports-vs-drx-esports-world-cup-2025-winners-b
Flicker,DRX,0.98,2,https://www.vlr.gg/510135/bbl-esports-vs-drx-esports-world-cup-2025-winners-b
BeYN,DRX,0.98,2,https://www.vlr.gg/510135/bbl-esports-vs-drx-esports-world-cup-2025-winners-b
HYUNMIN,DRX,0.93,2,https://www.vlr.gg/510135/bbl-esports-vs-drx-esports-world-cup-2025-winners-b
free1ng,DRX,0.78,2,https://www.vlr.gg/510135/bbl-esports-vs-drx-esports-world-cup-2025-winners-b
MaKo,DRX,0.75,2,https://www.vlr.gg/510135/bbl-esports-vs-drx-esports-world-cup-2025-winners-b
Flicker,DRX,1.54,3,https://www.vlr.gg/510134/drx-vs-xi-lai-gaming-esports-world-cup-2025-opening-b
HYUNMIN,DRX,1.51,3,https://www.vlr.gg/510134/drx-vs-xi-lai-gaming-esports-world-cup-2025-opening-b
free1ng,DRX,1.16,3,https://www.vlr.gg/510134/drx-vs-xi-lai-gaming-esports-world-cup-2025-opening-b
MaKo,DRX,1.07,3,https://www.vlr.gg/510134/drx-vs-xi-lai-gaming-esports-world-cup-2025-opening-b
BeYN,DRX,0.92,3,https://www.vlr.gg/510134/drx-vs-xi-lai-gaming-esports-world-cup-2025-opening-b
happywei,XLG,0.97,3,https://www.vlr.gg/510134/drx-vs-xi-lai-gaming-esports-world-cup-2025-opening-b
coconut,XLG,0.84,3,https://www.vlr.gg/510134/drx-vs-xi-lai-gaming-esports-world-cup-2025-opening-b
Viva,XLG,0.72,3,https://www.vlr.gg/510134/drx-vs-xi-lai-gaming-esports-world-cup-2025-opening-b
hvoya,XLG,0.61,3,https://www.vlr.gg/510134/drx-vs-xi-lai-gaming-esports-world-cup-2025-opening-b
Rarga,XLG,0.56,3,https://www.vlr.gg/510134/drx-vs-xi-lai-gaming-esports-world-cup-2025-opening-b
something,PRX,1.28,4,https://www.vlr.gg/489436/paper-rex-vs-drx-esports-world-cup-2025-pacific-x-acl-qualifier-gf
f0rsakeN,PRX,1.23,4,https://www.vlr.gg/489436/paper-rex-vs-drx-esports-world-cup-2025-pacific-x-acl-qualifier-gf
Jinggg,PRX,1.11,4,https://www.vlr.gg/489436/paper-rex-vs-drx-esports-world-cup-2025-pacific-x-acl-qualifier-gf
d4v41,PRX,0.99,4,https://www.vlr.gg/489436/paper-rex-vs-drx-esports-world-cup-2025-pacific-x-acl-qualifier-gf
mindfreak,PRX,0.83,4,https://www.vlr.gg/489436/paper-rex-vs-drx-esports-world-cup-2025-pacific-x-acl-qualifier-gf
MaKo,DRX,1.12,4,https://www.vlr.gg/489436/paper-rex-vs-drx-esports-world-cup-2025-pacific-x-acl-qualifier-gf
HYUNMIN,DRX,0.95,4,https://www.vlr.gg/489436/paper-rex-vs-drx-esports-world-cup-2025-pacific-x-acl-qualifier-gf
BeYN,DRX,0.9,4,https://www.vlr.gg/489436/paper-rex-vs-drx-esports-world-cup-2025-pacific-x-acl-qualifier-gf
Estrella,DRX,0.73,4,https://www.vlr.gg/489436/paper-rex-vs-drx-esports-world-cup-2025-pacific-x-acl-qualifier-gf
free1ng,DRX,0.71,4,https://www.vlr.gg/489436/paper-rex-vs-drx-esports-world-cup-2025-pacific-x-acl-qualifier-gf
free1ng,DRX,1.3,5,https://www.vlr.gg/489435/drx-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-sf
HYUNMIN,DRX,1.08,5,https://www.vlr.gg/489435/drx-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-sf
MaKo,DRX,1.05,5,https://www.vlr.gg/489435/drx-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-sf
BeYN,DRX,1.04,5,https://www.vlr.gg/489435/drx-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-sf
Estrella,DRX,0.89,5,https://www.vlr.gg/489435/drx-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-sf
Kr1stal,GE,1.26,5,https://www.vlr.gg/489435/drx-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-sf
Deryeon,GE,1.13,5,https://www.vlr.gg/489435/drx-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-sf
yoman,GE,1.04,5,https://www.vlr.gg/489435/drx-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-sf
Papi,GE,0.75,5,https://www.vlr.gg/489435/drx-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-sf
UdoTan,GE,0.6,5,https://www.vlr.gg/489435/drx-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-sf
MaKo,DRX,1.6,6,https://www.vlr.gg/489432/drx-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
BeYN,DRX,1.57,6,https://www.vlr.gg/489432/drx-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
