player_name,team,rating,match_number,match_url
Chronicle,FNC,1.21,1,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
kaajak,FNC,1.2,1,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
crashies,FNC,1.19,1,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
Alfajer,FNC,0.97,1,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
Boaster,FNC,0.95,1,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
Wo0t,TH,1.03,1,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
RieNs,TH,1.01,1,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
Boo,TH,0.97,1,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
MiniBoo,TH,0.79,1,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
benjyfishy,TH,0.71,1,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
Chronicle,FNC,1.41,2,https://www.vlr.gg/510153/fnatic-vs-paper-rex-esports-world-cup-2025-sf
kaajak,FNC,1.21,2,https://www.vlr.gg/510153/fnatic-vs-paper-rex-esports-world-cup-2025-sf
Alfajer,FNC,1.12,2,https://www.vlr.gg/510153/fnatic-vs-paper-rex-esports-world-cup-2025-sf
crashies,FNC,1.06,2,https://www.vlr.gg/510153/fnatic-vs-paper-rex-esports-world-cup-2025-sf
Boaster,FNC,0.79,2,https://www.vlr.gg/510153/fnatic-vs-paper-rex-esports-world-cup-2025-sf
f0rsakeN,PRX,1.01,2,https://www.vlr.gg/510153/fnatic-vs-paper-rex-esports-world-cup-2025-sf
d4v41,PRX,0.88,2,https://www.vlr.gg/510153/fnatic-vs-paper-rex-esports-world-cup-2025-sf
something,PRX,0.88,2,https://www.vlr.gg/510153/fnatic-vs-paper-rex-esports-world-cup-2025-sf
Jinggg,PRX,0.84,2,https://www.vlr.gg/510153/fnatic-vs-paper-rex-esports-world-cup-2025-sf
PatMen,PRX,0.71,2,https://www.vlr.gg/510153/fnatic-vs-paper-rex-esports-world-cup-2025-sf
Chronicle,FNC,1.43,3,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
Alfajer,FNC,1.15,3,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
kaajak,FNC,1.0,3,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
crashies,FNC,0.99,3,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
Boaster,FNC,0.92,3,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
Avez,KC,1.25,3,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
Elite,KC,1.11,3,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
marteen,KC,0.78,3,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
