player_name,team,rating,match_number,match_url
Zyppan,FPX,1.26,1,https://www.vlr.gg/130690/funplus-phoenix-vs-drx-valorant-champions-2022-lr3
ardiis,FPX,1.09,1,https://www.vlr.gg/130690/funplus-phoenix-vs-drx-valorant-champions-2022-lr3
SUYGETSU,FPX,1.01,1,https://www.vlr.gg/130690/funplus-phoenix-vs-drx-valorant-champions-2022-lr3
Shao,FPX,0.84,1,https://www.vlr.gg/130690/funplus-phoenix-vs-drx-valorant-champions-2022-lr3
ANGE1,FPX,0.27,1,https://www.vlr.gg/130690/funplus-phoenix-vs-drx-valorant-champions-2022-lr3
MaKo,DRX,1.43,1,https://www.vlr.gg/130690/funplus-phoenix-vs-drx-valorant-champions-2022-lr3
BuZz,DRX,1.35,1,https://www.vlr.gg/130690/funplus-phoenix-vs-drx-valorant-champions-2022-lr3
Zest,DRX,1.06,1,https://www.vlr.gg/130690/funplus-phoenix-vs-drx-valorant-champions-2022-lr3
stax,DRX,0.95,1,https://www.vlr.gg/130690/funplus-phoenix-vs-drx-valorant-champions-2022-lr3
Rb,DRX,0.8,1,https://www.vlr.gg/130690/funplus-phoenix-vs-drx-valorant-champions-2022-lr3
AYRIN,XSET,1.01,2,https://www.vlr.gg/130688/xset-vs-funplus-phoenix-valorant-champions-2022-lr2
BcJ,XSET,0.98,2,https://www.vlr.gg/130688/xset-vs-funplus-phoenix-valorant-champions-2022-lr2
Cryocells,XSET,0.95,2,https://www.vlr.gg/130688/xset-vs-funplus-phoenix-valorant-champions-2022-lr2
dephh,XSET,0.9,2,https://www.vlr.gg/130688/xset-vs-funplus-phoenix-valorant-champions-2022-lr2
zekken,XSET,0.78,2,https://www.vlr.gg/130688/xset-vs-funplus-phoenix-valorant-champions-2022-lr2
SUYGETSU,FPX,1.21,2,https://www.vlr.gg/130688/xset-vs-funplus-phoenix-valorant-champions-2022-lr2
Shao,FPX,1.14,2,https://www.vlr.gg/130688/xset-vs-funplus-phoenix-valorant-champions-2022-lr2
ardiis,FPX,1.12,2,https://www.vlr.gg/130688/xset-vs-funplus-phoenix-valorant-champions-2022-lr2
Zyppan,FPX,1.08,2,https://www.vlr.gg/130688/xset-vs-funplus-phoenix-valorant-champions-2022-lr2
ANGE1,FPX,0.94,2,https://www.vlr.gg/130688/xset-vs-funplus-phoenix-valorant-champions-2022-lr2
Zyppan,FPX,1.3,3,https://www.vlr.gg/130686/funplus-phoenix-vs-leviat-n-valorant-champions-2022-lr1
SUYGETSU,FPX,1.19,3,https://www.vlr.gg/130686/funplus-phoenix-vs-leviat-n-valorant-champions-2022-lr1
Shao,FPX,1.16,3,https://www.vlr.gg/130686/funplus-phoenix-vs-leviat-n-valorant-champions-2022-lr1
ardiis,FPX,1.02,3,https://www.vlr.gg/130686/funplus-phoenix-vs-leviat-n-valorant-champions-2022-lr1
ANGE1,FPX,0.47,3,https://www.vlr.gg/130686/funplus-phoenix-vs-leviat-n-valorant-champions-2022-lr1
kiNgg,LEV,1.32,3,https://www.vlr.gg/130686/funplus-phoenix-vs-leviat-n-valorant-champions-2022-lr1
Melser,LEV,1.08,3,https://www.vlr.gg/130686/funplus-phoenix-vs-leviat-n-valorant-champions-2022-lr1
adverso,LEV,1.07,3,https://www.vlr.gg/130686/funplus-phoenix-vs-leviat-n-valorant-champions-2022-lr1
Tacolilla,LEV,0.86,3,https://www.vlr.gg/130686/funplus-phoenix-vs-leviat-n-valorant-champions-2022-lr1
Shyy,LEV,0.69,3,https://www.vlr.gg/130686/funplus-phoenix-vs-leviat-n-valorant-champions-2022-lr1
Zest,DRX,1.32,4,https://www.vlr.gg/130678/drx-vs-funplus-phoenix-valorant-champions-2022-ubqf
stax,DRX,1.3,4,https://www.vlr.gg/130678/drx-vs-funplus-phoenix-valorant-champions-2022-ubqf
MaKo,DRX,1.12,4,https://www.vlr.gg/130678/drx-vs-funplus-phoenix-valorant-champions-2022-ubqf
BuZz,DRX,1.01,4,https://www.vlr.gg/130678/drx-vs-funplus-phoenix-valorant-champions-2022-ubqf
Rb,DRX,0.87,4,https://www.vlr.gg/130678/drx-vs-funplus-phoenix-valorant-champions-2022-ubqf
Shao,FPX,1.23,4,https://www.vlr.gg/130678/drx-vs-funplus-phoenix-valorant-champions-2022-ubqf
ardiis,FPX,0.93,4,https://www.vlr.gg/130678/drx-vs-funplus-phoenix-valorant-champions-2022-ubqf
Zyppan,FPX,0.92,4,https://www.vlr.gg/130678/drx-vs-funplus-phoenix-valorant-champions-2022-ubqf
SUYGETSU,FPX,0.91,4,https://www.vlr.gg/130678/drx-vs-funplus-phoenix-valorant-champions-2022-ubqf
ANGE1,FPX,0.6,4,https://www.vlr.gg/130678/drx-vs-funplus-phoenix-valorant-champions-2022-ubqf
SUYGETSU,FPX,1.6,5,https://www.vlr.gg/130631/funplus-phoenix-vs-kr-esports-valorant-champions-2022-group-stage-decider-c
Shao,FPX,1.31,5,https://www.vlr.gg/130631/funplus-phoenix-vs-kr-esports-valorant-champions-2022-group-stage-decider-c
