player_name,team,rating,match_number,match_url
Shao,NAVI,1.03,1,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
hiro,NAVI,1.02,1,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
Ruxic,NAVI,0.94,1,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
ANGE1,NAVI,0.85,1,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
alexiiik,NAVI,0.53,1,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
Proxh,M8,1.32,1,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
Minny,M8,1.11,1,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
ComeBack,M8,1.06,1,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
Veqaj,M8,1.04,1,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
kamyk,M8,0.92,1,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
ComeBack,M8,1.34,2,https://www.vlr.gg/509287/gentle-mates-vs-bbl-pcific-btcturk-gamefest-main-event-sf
Proxh,M8,1.22,2,https://www.vlr.gg/509287/gentle-mates-vs-bbl-pcific-btcturk-gamefest-main-event-sf
Minny,M8,1.11,2,https://www.vlr.gg/509287/gentle-mates-vs-bbl-pcific-btcturk-gamefest-main-event-sf
kamyk,M8,0.93,2,https://www.vlr.gg/509287/gentle-mates-vs-bbl-pcific-btcturk-gamefest-main-event-sf
Veqaj,M8,0.7,2,https://www.vlr.gg/509287/gentle-mates-vs-bbl-pcific-btcturk-gamefest-main-event-sf
Loita,BCF,1.41,2,https://www.vlr.gg/509287/gentle-mates-vs-bbl-pcific-btcturk-gamefest-main-event-sf
Lar0k,BCF,1.13,2,https://www.vlr.gg/509287/gentle-mates-vs-bbl-pcific-btcturk-gamefest-main-event-sf
lovers rock,BCF,0.81,2,https://www.vlr.gg/509287/gentle-mates-vs-bbl-pcific-btcturk-gamefest-main-event-sf
Crewen,BCF,0.74,2,https://www.vlr.gg/509287/gentle-mates-vs-bbl-pcific-btcturk-gamefest-main-event-sf
Rosé,BCF,0.64,2,https://www.vlr.gg/509287/gentle-mates-vs-bbl-pcific-btcturk-gamefest-main-event-sf
hiro,NAVI,1.47,3,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
koalanoob,NAVI,1.28,3,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
Shao,NAVI,1.09,3,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
Ruxic,NAVI,0.97,3,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
ANGE1,NAVI,0.79,3,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
Veqaj,M8,1.16,3,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
kamyk,M8,0.98,3,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
Zyppan,M8,0.91,3,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
Proxh,M8,0.88,3,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
Minny,M8,0.69,3,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
Derke,VIT,1.17,4,https://www.vlr.gg/487995/team-vitality-vs-gentle-mates-esports-world-cup-2025-lr2
Kicks,VIT,1.04,4,https://www.vlr.gg/487995/team-vitality-vs-gentle-mates-esports-world-cup-2025-lr2
CyvOph,VIT,1.04,4,https://www.vlr.gg/487995/team-vitality-vs-gentle-mates-esports-world-cup-2025-lr2
Less,VIT,0.85,4,https://www.vlr.gg/487995/team-vitality-vs-gentle-mates-esports-world-cup-2025-lr2
Sayf,VIT,0.79,4,https://www.vlr.gg/487995/team-vitality-vs-gentle-mates-esports-world-cup-2025-lr2
Veqaj,M8,1.1,4,https://www.vlr.gg/487995/team-vitality-vs-gentle-mates-esports-world-cup-2025-lr2
Proxh,M8,1.05,4,https://www.vlr.gg/487995/team-vitality-vs-gentle-mates-esports-world-cup-2025-lr2
Minny,M8,1.03,4,https://www.vlr.gg/487995/team-vitality-vs-gentle-mates-esports-world-cup-2025-lr2
Zyppan,M8,0.96,4,https://www.vlr.gg/487995/team-vitality-vs-gentle-mates-esports-world-cup-2025-lr2
kamyk,M8,0.88,4,https://www.vlr.gg/487995/team-vitality-vs-gentle-mates-esports-world-cup-2025-lr2
Minny,M8,1.39,5,https://www.vlr.gg/487993/gentle-mates-vs-koi-esports-world-cup-2025-lr1
Veqaj,M8,1.25,5,https://www.vlr.gg/487993/gentle-mates-vs-koi-esports-world-cup-2025-lr1
Zyppan,M8,1.18,5,https://www.vlr.gg/487993/gentle-mates-vs-koi-esports-world-cup-2025-lr1
kamyk,M8,1.02,5,https://www.vlr.gg/487993/gentle-mates-vs-koi-esports-world-cup-2025-lr1
Proxh,M8,1.0,5,https://www.vlr.gg/487993/gentle-mates-vs-koi-esports-world-cup-2025-lr1
MONSTEERR,MKOI,1.21,5,https://www.vlr.gg/487993/gentle-mates-vs-koi-esports-world-cup-2025-lr1
baddyG,MKOI,0.85,5,https://www.vlr.gg/487993/gentle-mates-vs-koi-esports-world-cup-2025-lr1
Filu,MKOI,0.82,5,https://www.vlr.gg/487993/gentle-mates-vs-koi-esports-world-cup-2025-lr1
flyuh,MKOI,0.77,5,https://www.vlr.gg/487993/gentle-mates-vs-koi-esports-world-cup-2025-lr1
nataNk,MKOI,0.71,5,https://www.vlr.gg/487993/gentle-mates-vs-koi-esports-world-cup-2025-lr1
Ruxic,NAVI,1.75,6,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
hiro,NAVI,1.21,6,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
Shao,NAVI,1.2,6,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
koalanoob,NAVI,0.75,6,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
ANGE1,NAVI,0.41,6,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
Veqaj,M8,1.06,6,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
Proxh,M8,1.03,6,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
kamyk,M8,0.97,6,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
Minny,M8,0.94,6,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
Zyppan,M8,0.62,6,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
Minny,M8,1.08,7,https://www.vlr.gg/459854/gentle-mates-vs-koi-champions-tour-2025-emea-stage-1-w5
kamyk,M8,1.01,7,https://www.vlr.gg/459854/gentle-mates-vs-koi-champions-tour-2025-emea-stage-1-w5
Zyppan,M8,0.76,7,https://www.vlr.gg/459854/gentle-mates-vs-koi-champions-tour-2025-emea-stage-1-w5
Click,M8,0.75,7,https://www.vlr.gg/459854/gentle-mates-vs-koi-champions-tour-2025-emea-stage-1-w5
Kada,M8,0.7,7,https://www.vlr.gg/459854/gentle-mates-vs-koi-champions-tour-2025-emea-stage-1-w5
soulcas,MKOI,1.29,7,https://www.vlr.gg/459854/gentle-mates-vs-koi-champions-tour-2025-emea-stage-1-w5
grubinho,MKOI,1.14,7,https://www.vlr.gg/459854/gentle-mates-vs-koi-champions-tour-2025-emea-stage-1-w5
Filu,MKOI,1.1,7,https://www.vlr.gg/459854/gentle-mates-vs-koi-champions-tour-2025-emea-stage-1-w5
flyuh,MKOI,1.09,7,https://www.vlr.gg/459854/gentle-mates-vs-koi-champions-tour-2025-emea-stage-1-w5
sheydos,MKOI,0.92,7,https://www.vlr.gg/459854/gentle-mates-vs-koi-champions-tour-2025-emea-stage-1-w5
Kada,M8,1.2,8,https://www.vlr.gg/459847/gentle-mates-vs-bbl-esports-champions-tour-2025-emea-stage-1-w4
kamyk,M8,0.99,8,https://www.vlr.gg/459847/gentle-mates-vs-bbl-esports-champions-tour-2025-emea-stage-1-w4
Minny,M8,0.92,8,https://www.vlr.gg/459847/gentle-mates-vs-bbl-esports-champions-tour-2025-emea-stage-1-w4
Click,M8,0.86,8,https://www.vlr.gg/459847/gentle-mates-vs-bbl-esports-champions-tour-2025-emea-stage-1-w4
Zyppan,M8,0.29,8,https://www.vlr.gg/459847/gentle-mates-vs-bbl-esports-champions-tour-2025-emea-stage-1-w4
sociablEE,BBL,1.55,8,https://www.vlr.gg/459847/gentle-mates-vs-bbl-esports-champions-tour-2025-emea-stage-1-w4
Jamppi,BBL,1.34,8,https://www.vlr.gg/459847/gentle-mates-vs-bbl-esports-champions-tour-2025-emea-stage-1-w4
LewN,BBL,1.15,8,https://www.vlr.gg/459847/gentle-mates-vs-bbl-esports-champions-tour-2025-emea-stage-1-w4
MAGNUM,BBL,0.87,8,https://www.vlr.gg/459847/gentle-mates-vs-bbl-esports-champions-tour-2025-emea-stage-1-w4
PROFEK,BBL,0.86,8,https://www.vlr.gg/459847/gentle-mates-vs-bbl-esports-champions-tour-2025-emea-stage-1-w4
marteen,KC,1.48,9,https://www.vlr.gg/459844/karmine-corp-vs-gentle-mates-champions-tour-2025-emea-stage-1-w3
SUYGETSU,KC,1.3,9,https://www.vlr.gg/459844/karmine-corp-vs-gentle-mates-champions-tour-2025-emea-stage-1-w3
Avez,KC,1.21,9,https://www.vlr.gg/459844/karmine-corp-vs-gentle-mates-champions-tour-2025-emea-stage-1-w3
saadhak,KC,1.08,9,https://www.vlr.gg/459844/karmine-corp-vs-gentle-mates-champions-tour-2025-emea-stage-1-w3
Elite,KC,0.9,9,https://www.vlr.gg/459844/karmine-corp-vs-gentle-mates-champions-tour-2025-emea-stage-1-w3
kamyk,M8,1.05,9,https://www.vlr.gg/459844/karmine-corp-vs-gentle-mates-champions-tour-2025-emea-stage-1-w3
Click,M8,0.9,9,https://www.vlr.gg/459844/karmine-corp-vs-gentle-mates-champions-tour-2025-emea-stage-1-w3
Kada,M8,0.74,9,https://www.vlr.gg/459844/karmine-corp-vs-gentle-mates-champions-tour-2025-emea-stage-1-w3
Minny,M8,0.72,9,https://www.vlr.gg/459844/karmine-corp-vs-gentle-mates-champions-tour-2025-emea-stage-1-w3
Zyppan,M8,0.7,9,https://www.vlr.gg/459844/karmine-corp-vs-gentle-mates-champions-tour-2025-emea-stage-1-w3
MrFaliN,FUT,1.15,10,https://www.vlr.gg/459834/fut-esports-vs-gentle-mates-champions-tour-2025-emea-stage-1-w2
qRaxs,FUT,1.15,10,https://www.vlr.gg/459834/fut-esports-vs-gentle-mates-champions-tour-2025-emea-stage-1-w2
AtaKaptan,FUT,1.1,10,https://www.vlr.gg/459834/fut-esports-vs-gentle-mates-champions-tour-2025-emea-stage-1-w2
xeus,FUT,1.07,10,https://www.vlr.gg/459834/fut-esports-vs-gentle-mates-champions-tour-2025-emea-stage-1-w2
yetujey,FUT,1.01,10,https://www.vlr.gg/459834/fut-esports-vs-gentle-mates-champions-tour-2025-emea-stage-1-w2
kamyk,M8,1.2,10,https://www.vlr.gg/459834/fut-esports-vs-gentle-mates-champions-tour-2025-emea-stage-1-w2
Kada,M8,0.97,10,https://www.vlr.gg/459834/fut-esports-vs-gentle-mates-champions-tour-2025-emea-stage-1-w2
Minny,M8,0.92,10,https://www.vlr.gg/459834/fut-esports-vs-gentle-mates-champions-tour-2025-emea-stage-1-w2
Zyppan,M8,0.87,10,https://www.vlr.gg/459834/fut-esports-vs-gentle-mates-champions-tour-2025-emea-stage-1-w2
Click,M8,0.71,10,https://www.vlr.gg/459834/fut-esports-vs-gentle-mates-champions-tour-2025-emea-stage-1-w2
Keiko,TL,1.22,11,https://www.vlr.gg/459831/team-liquid-vs-gentle-mates-champions-tour-2025-emea-stage-1-w1
nAts,TL,1.04,11,https://www.vlr.gg/459831/team-liquid-vs-gentle-mates-champions-tour-2025-emea-stage-1-w1
paTiTek,TL,0.94,11,https://www.vlr.gg/459831/team-liquid-vs-gentle-mates-champions-tour-2025-emea-stage-1-w1
kamo,TL,0.93,11,https://www.vlr.gg/459831/team-liquid-vs-gentle-mates-champions-tour-2025-emea-stage-1-w1
