player_name,team,rating,match_number,match_url
stew,JDG,1.38,1,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
kklin,JDG,0.95,1,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
Z1yan,JDG,0.87,1,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
jkuro,JDG,0.82,1,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
Babyblue,JDG,0.75,1,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
MarT1n,TE,1.28,1,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
Kai,TE,1.24,1,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
FengF,TE,1.11,1,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
LuoK1ng,TE,0.91,1,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
Biank,TE,0.63,1,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
Z1yan,JDG,1.27,3,https://www.vlr.gg/450071/jdg-esports-vs-xi-lai-gaming-champions-tour-2025-china-stage-1-w5
Babyblue,JDG,0.88,3,https://www.vlr.gg/450071/jdg-esports-vs-xi-lai-gaming-champions-tour-2025-china-stage-1-w5
MrCANI,JDG,0.63,3,https://www.vlr.gg/450071/jdg-esports-vs-xi-lai-gaming-champions-tour-2025-china-stage-1-w5
jkuro,JDG,0.46,3,https://www.vlr.gg/450071/jdg-esports-vs-xi-lai-gaming-champions-tour-2025-china-stage-1-w5
stew,JDG,0.39,3,https://www.vlr.gg/450071/jdg-esports-vs-xi-lai-gaming-champions-tour-2025-china-stage-1-w5
YOU,XLG,1.6,3,https://www.vlr.gg/450071/jdg-esports-vs-xi-lai-gaming-champions-tour-2025-china-stage-1-w5
Viva,XLG,1.45,3,https://www.vlr.gg/450071/jdg-esports-vs-xi-lai-gaming-champions-tour-2025-china-stage-1-w5
coconut,XLG,1.41,3,https://www.vlr.gg/450071/jdg-esports-vs-xi-lai-gaming-champions-tour-2025-china-stage-1-w5
