player_name,team,rating,match_number,match_url
Chronicle,FNC,1.43,1,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
Alfajer,FNC,1.15,1,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
kaajak,FNC,1.0,1,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
crashies,FNC,0.99,1,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
Boaster,FNC,0.92,1,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
Avez,KC,1.25,1,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
Elite,KC,1.11,1,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
marteen,KC,0.78,1,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
SUYGETSU,KC,0.76,1,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
saadhak,KC,0.43,1,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
SUYGETSU,KC,1.27,2,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
saadhak,KC,1.26,2,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
Avez,KC,1.23,2,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
Elite,KC,0.86,2,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
marteen,KC,0.82,2,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
Knight,BLG,1.12,2,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
whzy,BLG,1.04,2,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
nephh,BLG,1.0,2,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
rushia,BLG,0.78,2,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
Levius,BLG,0.68,2,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
f0rsakeN,PRX,1.45,3,https://www.vlr.gg/510129/paper-rex-vs-karmine-corp-esports-world-cup-2025-winners-a
PatMen,PRX,1.22,3,https://www.vlr.gg/510129/paper-rex-vs-karmine-corp-esports-world-cup-2025-winners-a
something,PRX,1.22,3,https://www.vlr.gg/510129/paper-rex-vs-karmine-corp-esports-world-cup-2025-winners-a
Jinggg,PRX,1.08,3,https://www.vlr.gg/510129/paper-rex-vs-karmine-corp-esports-world-cup-2025-winners-a
d4v41,PRX,0.95,3,https://www.vlr.gg/510129/paper-rex-vs-karmine-corp-esports-world-cup-2025-winners-a
Avez,KC,0.94,3,https://www.vlr.gg/510129/paper-rex-vs-karmine-corp-esports-world-cup-2025-winners-a
SUYGETSU,KC,0.86,3,https://www.vlr.gg/510129/paper-rex-vs-karmine-corp-esports-world-cup-2025-winners-a
Elite,KC,0.81,3,https://www.vlr.gg/510129/paper-rex-vs-karmine-corp-esports-world-cup-2025-winners-a
marteen,KC,0.78,3,https://www.vlr.gg/510129/paper-rex-vs-karmine-corp-esports-world-cup-2025-winners-a
saadhak,KC,0.64,3,https://www.vlr.gg/510129/paper-rex-vs-karmine-corp-esports-world-cup-2025-winners-a
JonahP,G2,0.92,4,https://www.vlr.gg/510128/g2-esports-vs-karmine-corp-esports-world-cup-2025-opening-a
jawgemo,G2,0.8,4,https://www.vlr.gg/510128/g2-esports-vs-karmine-corp-esports-world-cup-2025-opening-a
shhhack,G2,0.68,4,https://www.vlr.gg/510128/g2-esports-vs-karmine-corp-esports-world-cup-2025-opening-a
valyn,G2,0.67,4,https://www.vlr.gg/510128/g2-esports-vs-karmine-corp-esports-world-cup-2025-opening-a
trent,G2,0.61,4,https://www.vlr.gg/510128/g2-esports-vs-karmine-corp-esports-world-cup-2025-opening-a
saadhak,KC,1.89,4,https://www.vlr.gg/510128/g2-esports-vs-karmine-corp-esports-world-cup-2025-opening-a
Elite,KC,1.5,4,https://www.vlr.gg/510128/g2-esports-vs-karmine-corp-esports-world-cup-2025-opening-a
marteen,KC,1.25,4,https://www.vlr.gg/510128/g2-esports-vs-karmine-corp-esports-world-cup-2025-opening-a
SUYGETSU,KC,1.03,4,https://www.vlr.gg/510128/g2-esports-vs-karmine-corp-esports-world-cup-2025-opening-a
Avez,KC,0.85,4,https://www.vlr.gg/510128/g2-esports-vs-karmine-corp-esports-world-cup-2025-opening-a
Keiko,TL,1.18,5,https://www.vlr.gg/488002/team-liquid-vs-karmine-corp-esports-world-cup-2025-decider-p2
nAts,TL,0.98,5,https://www.vlr.gg/488002/team-liquid-vs-karmine-corp-esports-world-cup-2025-decider-p2
paTiTek,TL,0.9,5,https://www.vlr.gg/488002/team-liquid-vs-karmine-corp-esports-world-cup-2025-decider-p2
Serial,TL,0.81,5,https://www.vlr.gg/488002/team-liquid-vs-karmine-corp-esports-world-cup-2025-decider-p2
kamo,TL,0.77,5,https://www.vlr.gg/488002/team-liquid-vs-karmine-corp-esports-world-cup-2025-decider-p2
Avez,KC,1.41,5,https://www.vlr.gg/488002/team-liquid-vs-karmine-corp-esports-world-cup-2025-decider-p2
SUYGETSU,KC,1.23,5,https://www.vlr.gg/488002/team-liquid-vs-karmine-corp-esports-world-cup-2025-decider-p2
Elite,KC,1.0,5,https://www.vlr.gg/488002/team-liquid-vs-karmine-corp-esports-world-cup-2025-decider-p2
marteen,KC,0.85,5,https://www.vlr.gg/488002/team-liquid-vs-karmine-corp-esports-world-cup-2025-decider-p2
saadhak,KC,0.73,5,https://www.vlr.gg/488002/team-liquid-vs-karmine-corp-esports-world-cup-2025-decider-p2
qRaxs,FUT,1.0,6,https://www.vlr.gg/488001/fut-esports-vs-karmine-corp-esports-world-cup-2025-elim-p2
MrFaliN,FUT,0.97,6,https://www.vlr.gg/488001/fut-esports-vs-karmine-corp-esports-world-cup-2025-elim-p2
yetujey,FUT,0.83,6,https://www.vlr.gg/488001/fut-esports-vs-karmine-corp-esports-world-cup-2025-elim-p2
xeus,FUT,0.79,6,https://www.vlr.gg/488001/fut-esports-vs-karmine-corp-esports-world-cup-2025-elim-p2
AtaKaptan,FUT,0.67,6,https://www.vlr.gg/488001/fut-esports-vs-karmine-corp-esports-world-cup-2025-elim-p2
Avez,KC,1.43,6,https://www.vlr.gg/488001/fut-esports-vs-karmine-corp-esports-world-cup-2025-elim-p2
marteen,KC,1.28,6,https://www.vlr.gg/488001/fut-esports-vs-karmine-corp-esports-world-cup-2025-elim-p2
SUYGETSU,KC,1.24,6,https://www.vlr.gg/488001/fut-esports-vs-karmine-corp-esports-world-cup-2025-elim-p2
Elite,KC,0.94,6,https://www.vlr.gg/488001/fut-esports-vs-karmine-corp-esports-world-cup-2025-elim-p2
saadhak,KC,0.9,6,https://www.vlr.gg/488001/fut-esports-vs-karmine-corp-esports-world-cup-2025-elim-p2
PROFEK,BBL,1.45,7,https://www.vlr.gg/487999/bbl-esports-vs-karmine-corp-esports-world-cup-2025-opening-p2
sociablEE,BBL,1.26,7,https://www.vlr.gg/487999/bbl-esports-vs-karmine-corp-esports-world-cup-2025-opening-p2
MAGNUM,BBL,1.09,7,https://www.vlr.gg/487999/bbl-esports-vs-karmine-corp-esports-world-cup-2025-opening-p2
Jamppi,BBL,1.07,7,https://www.vlr.gg/487999/bbl-esports-vs-karmine-corp-esports-world-cup-2025-opening-p2
LewN,BBL,1.03,7,https://www.vlr.gg/487999/bbl-esports-vs-karmine-corp-esports-world-cup-2025-opening-p2
Elite,KC,1.18,7,https://www.vlr.gg/487999/bbl-esports-vs-karmine-corp-esports-world-cup-2025-opening-p2
saadhak,KC,0.88,7,https://www.vlr.gg/487999/bbl-esports-vs-karmine-corp-esports-world-cup-2025-opening-p2
marteen,KC,0.79,7,https://www.vlr.gg/487999/bbl-esports-vs-karmine-corp-esports-world-cup-2025-opening-p2
SUYGETSU,KC,0.76,7,https://www.vlr.gg/487999/bbl-esports-vs-karmine-corp-esports-world-cup-2025-opening-p2
Avez,KC,0.49,7,https://www.vlr.gg/487999/bbl-esports-vs-karmine-corp-esports-world-cup-2025-opening-p2
MrFaliN,FUT,1.15,8,https://www.vlr.gg/487991/fut-esports-vs-karmine-corp-esports-world-cup-2025-ubf
