player_name,team,rating,match_number,match_url
keznit,KRÜ,1.14,1,https://www.vlr.gg/511523/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-gf
Melser,KRÜ,1.07,1,https://www.vlr.gg/511523/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-gf
Mazino,KRÜ,0.87,1,https://www.vlr.gg/511523/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-gf
Shyy,KRÜ,0.86,1,https://www.vlr.gg/511523/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-gf
adverso,KRÜ,0.83,1,https://www.vlr.gg/511523/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-gf
kiNgg,LEV,1.12,1,https://www.vlr.gg/511523/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-gf
tex,LEV,1.03,1,https://www.vlr.gg/511523/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-gf
Sato,LEV,1.01,1,https://www.vlr.gg/511523/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-gf
C0M,LEV,0.99,1,https://www.vlr.gg/511523/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-gf
Okeanos,LEV,0.95,1,https://www.vlr.gg/511523/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-gf
pryze,2G,1.19,2,https://www.vlr.gg/511521/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-sf
spike,2G,0.98,2,https://www.vlr.gg/511521/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-sf
silentzz,2G,0.87,2,https://www.vlr.gg/511521/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-sf
lz,2G,0.81,2,https://www.vlr.gg/511521/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-sf
gobera,2G,0.8,2,https://www.vlr.gg/511521/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-sf
keznit,KRÜ,1.29,2,https://www.vlr.gg/511521/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-sf
Mazino,KRÜ,1.14,2,https://www.vlr.gg/511521/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-sf
Melser,KRÜ,1.08,2,https://www.vlr.gg/511521/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-sf
Shyy,KRÜ,1.04,2,https://www.vlr.gg/511521/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-sf
adverso,KRÜ,0.91,2,https://www.vlr.gg/511521/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-sf
Mazino,KRÜ,1.28,3,https://www.vlr.gg/510617/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-rr
Shyy,KRÜ,1.23,3,https://www.vlr.gg/510617/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-rr
Melser,KRÜ,0.88,3,https://www.vlr.gg/510617/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-rr
adverso,KRÜ,0.71,3,https://www.vlr.gg/510617/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-rr
keznit,KRÜ,0.67,3,https://www.vlr.gg/510617/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-rr
C0M,LEV,1.34,3,https://www.vlr.gg/510617/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-rr
kiNgg,LEV,1.17,3,https://www.vlr.gg/510617/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-rr
Sato,LEV,1.14,3,https://www.vlr.gg/510617/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-rr
Okeanos,LEV,1.02,3,https://www.vlr.gg/510617/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-rr
tex,LEV,0.53,3,https://www.vlr.gg/510617/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-rr
silentzz,2G,1.33,4,https://www.vlr.gg/510615/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-rr
spike,2G,1.05,4,https://www.vlr.gg/510615/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-rr
pryze,2G,0.93,4,https://www.vlr.gg/510615/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-rr
gobera,2G,0.71,4,https://www.vlr.gg/510615/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-rr
lz,2G,0.59,4,https://www.vlr.gg/510615/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-rr
