player_name,team,rating,match_number,match_url
icy,EG,0.99,1,https://www.vlr.gg/459545/evil-geniuses-vs-loud-champions-tour-2025-americas-stage-1-w5
Derrek,EG,0.99,1,https://www.vlr.gg/459545/evil-geniuses-vs-loud-champions-tour-2025-americas-stage-1-w5
yay,EG,0.95,1,https://www.vlr.gg/459545/evil-geniuses-vs-loud-champions-tour-2025-americas-stage-1-w5
supamen,EG,0.95,1,https://www.vlr.gg/459545/evil-geniuses-vs-loud-champions-tour-2025-americas-stage-1-w5
NaturE,EG,0.79,1,https://www.vlr.gg/459545/evil-geniuses-vs-loud-champions-tour-2025-americas-stage-1-w5
pANcada,LOUD,1.51,1,https://www.vlr.gg/459545/evil-geniuses-vs-loud-champions-tour-2025-americas-stage-1-w5
lukxo,LOUD,1.17,1,https://www.vlr.gg/459545/evil-geniuses-vs-loud-champions-tour-2025-americas-stage-1-w5
tuyz,LOUD,1.02,1,https://www.vlr.gg/459545/evil-geniuses-vs-loud-champions-tour-2025-americas-stage-1-w5
cauanzin,LOUD,0.83,1,https://www.vlr.gg/459545/evil-geniuses-vs-loud-champions-tour-2025-americas-stage-1-w5
dgzin,LOUD,0.68,1,https://www.vlr.gg/459545/evil-geniuses-vs-loud-champions-tour-2025-americas-stage-1-w5
N4RRATE,SEN,1.6,2,https://www.vlr.gg/459538/sentinels-vs-loud-champions-tour-2025-americas-stage-1-w4
johnqt,SEN,1.3,2,https://www.vlr.gg/459538/sentinels-vs-loud-champions-tour-2025-americas-stage-1-w4
bang,SEN,0.91,2,https://www.vlr.gg/459538/sentinels-vs-loud-champions-tour-2025-americas-stage-1-w4
zekken,SEN,0.9,2,https://www.vlr.gg/459538/sentinels-vs-loud-champions-tour-2025-americas-stage-1-w4
Zellsis,SEN,0.89,2,https://www.vlr.gg/459538/sentinels-vs-loud-champions-tour-2025-americas-stage-1-w4
lukxo,LOUD,1.21,2,https://www.vlr.gg/459538/sentinels-vs-loud-champions-tour-2025-americas-stage-1-w4
dgzin,LOUD,1.07,2,https://www.vlr.gg/459538/sentinels-vs-loud-champions-tour-2025-americas-stage-1-w4
tuyz,LOUD,0.8,2,https://www.vlr.gg/459538/sentinels-vs-loud-champions-tour-2025-americas-stage-1-w4
pANcada,LOUD,0.78,2,https://www.vlr.gg/459538/sentinels-vs-loud-champions-tour-2025-americas-stage-1-w4
cauanzin,LOUD,0.65,2,https://www.vlr.gg/459538/sentinels-vs-loud-champions-tour-2025-americas-stage-1-w4
Cryocells,100T,1.44,3,https://www.vlr.gg/459530/100-thieves-vs-loud-champions-tour-2025-americas-stage-1-w3
eeiu,100T,1.08,3,https://www.vlr.gg/459530/100-thieves-vs-loud-champions-tour-2025-americas-stage-1-w3
Asuna,100T,1.01,3,https://www.vlr.gg/459530/100-thieves-vs-loud-champions-tour-2025-americas-stage-1-w3
zander,100T,0.98,3,https://www.vlr.gg/459530/100-thieves-vs-loud-champions-tour-2025-americas-stage-1-w3
Boostio,100T,0.64,3,https://www.vlr.gg/459530/100-thieves-vs-loud-champions-tour-2025-americas-stage-1-w3
lukxo,LOUD,1.32,3,https://www.vlr.gg/459530/100-thieves-vs-loud-champions-tour-2025-americas-stage-1-w3
cauanzin,LOUD,1.14,3,https://www.vlr.gg/459530/100-thieves-vs-loud-champions-tour-2025-americas-stage-1-w3
pANcada,LOUD,1.06,3,https://www.vlr.gg/459530/100-thieves-vs-loud-champions-tour-2025-americas-stage-1-w3
dgzin,LOUD,0.83,3,https://www.vlr.gg/459530/100-thieves-vs-loud-champions-tour-2025-americas-stage-1-w3
v1nny,LOUD,0.62,3,https://www.vlr.gg/459530/100-thieves-vs-loud-champions-tour-2025-americas-stage-1-w3
pANcada,LOUD,1.32,4,https://www.vlr.gg/459527/loud-vs-2game-esports-champions-tour-2025-americas-stage-1-w2
dgzin,LOUD,1.3,4,https://www.vlr.gg/459527/loud-vs-2game-esports-champions-tour-2025-americas-stage-1-w2
cauanzin,LOUD,0.9,4,https://www.vlr.gg/459527/loud-vs-2game-esports-champions-tour-2025-americas-stage-1-w2
tuyz,LOUD,0.79,4,https://www.vlr.gg/459527/loud-vs-2game-esports-champions-tour-2025-americas-stage-1-w2
v1nny,LOUD,0.63,4,https://www.vlr.gg/459527/loud-vs-2game-esports-champions-tour-2025-americas-stage-1-w2
gobera,2G,1.16,4,https://www.vlr.gg/459527/loud-vs-2game-esports-champions-tour-2025-americas-stage-1-w2
Askia,2G,1.03,4,https://www.vlr.gg/459527/loud-vs-2game-esports-champions-tour-2025-americas-stage-1-w2
lz,2G,1.01,4,https://www.vlr.gg/459527/loud-vs-2game-esports-champions-tour-2025-americas-stage-1-w2
silentzz,2G,0.97,4,https://www.vlr.gg/459527/loud-vs-2game-esports-champions-tour-2025-americas-stage-1-w2
PxS,2G,0.92,4,https://www.vlr.gg/459527/loud-vs-2game-esports-champions-tour-2025-americas-stage-1-w2
keznit,KRÜ,1.24,5,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Melser,KRÜ,1.15,5,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Shyy,KRÜ,1.08,5,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
Mazino,KRÜ,1.0,5,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
adverso,KRÜ,0.89,5,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
pANcada,LOUD,1.08,5,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
cauanzin,LOUD,1.03,5,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
dgzin,LOUD,1.02,5,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
tuyz,LOUD,0.89,5,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
v1nny,LOUD,0.7,5,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
pANcada,LOUD,1.19,6,https://www.vlr.gg/428010/loud-vs-kr-esports-champions-tour-2025-americas-kickoff-lr3
