player_name,team,rating,match_number,match_url
Keiko,TL,1.33,1,https://www.vlr.gg/490313/team-liquid-vs-mibr-valorant-masters-2025-toronto-r2-0-1
nAts,TL,1.18,1,https://www.vlr.gg/490313/team-liquid-vs-mibr-valorant-masters-2025-toronto-r2-0-1
penny,TL,1.12,1,https://www.vlr.gg/490313/team-liquid-vs-mibr-valorant-masters-2025-toronto-r2-0-1
Serial,TL,1.02,1,https://www.vlr.gg/490313/team-liquid-vs-mibr-valorant-masters-2025-toronto-r2-0-1
kamo,TL,1.01,1,https://www.vlr.gg/490313/team-liquid-vs-mibr-valorant-masters-2025-toronto-r2-0-1
paTiTek,TL,0.91,1,https://www.vlr.gg/490313/team-liquid-vs-mibr-valorant-masters-2025-toronto-r2-0-1
Verno,MIBR,1.31,1,https://www.vlr.gg/490313/team-liquid-vs-mibr-valorant-masters-2025-toronto-r2-0-1
xenom,MIBR,0.88,1,https://www.vlr.gg/490313/team-liquid-vs-mibr-valorant-masters-2025-toronto-r2-0-1
cortezia,MIBR,0.78,1,https://www.vlr.gg/490313/team-liquid-vs-mibr-valorant-masters-2025-toronto-r2-0-1
artzin,MIBR,0.69,1,https://www.vlr.gg/490313/team-liquid-vs-mibr-valorant-masters-2025-toronto-r2-0-1
aspas,MIBR,0.58,1,https://www.vlr.gg/490313/team-liquid-vs-mibr-valorant-masters-2025-toronto-r2-0-1
t3xture,GEN,1.48,2,https://www.vlr.gg/490306/gen-g-vs-mibr-champions-tour-2025-masters-toronto-r1
Karon,GEN,1.44,2,https://www.vlr.gg/490306/gen-g-vs-mibr-champions-tour-2025-masters-toronto-r1
Ash,GEN,1.43,2,https://www.vlr.gg/490306/gen-g-vs-mibr-champions-tour-2025-masters-toronto-r1
Foxy9,GEN,1.31,2,https://www.vlr.gg/490306/gen-g-vs-mibr-champions-tour-2025-masters-toronto-r1
Munchkin,GEN,1.22,2,https://www.vlr.gg/490306/gen-g-vs-mibr-champions-tour-2025-masters-toronto-r1
Verno,MIBR,1.03,2,https://www.vlr.gg/490306/gen-g-vs-mibr-champions-tour-2025-masters-toronto-r1
cortezia,MIBR,0.58,2,https://www.vlr.gg/490306/gen-g-vs-mibr-champions-tour-2025-masters-toronto-r1
xenom,MIBR,0.5,2,https://www.vlr.gg/490306/gen-g-vs-mibr-champions-tour-2025-masters-toronto-r1
aspas,MIBR,0.48,2,https://www.vlr.gg/490306/gen-g-vs-mibr-champions-tour-2025-masters-toronto-r1
artzin,MIBR,0.3,2,https://www.vlr.gg/490306/gen-g-vs-mibr-champions-tour-2025-masters-toronto-r1
Asuna,100T,1.13,3,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
Cryocells,100T,1.06,3,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
eeiu,100T,1.05,3,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
zander,100T,1.0,3,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
Boostio,100T,0.68,3,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
aspas,MIBR,1.32,3,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
cortezia,MIBR,1.05,3,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
Verno,MIBR,0.93,3,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
artzin,MIBR,0.88,3,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
xenom,MIBR,0.81,3,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
aspas,MIBR,1.16,4,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
Verno,MIBR,1.07,4,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
xenom,MIBR,1.07,4,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
cortezia,MIBR,0.93,4,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
artzin,MIBR,0.71,4,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
yay,EG,1.18,4,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
Derrek,EG,1.05,4,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
icy,EG,1.04,4,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
supamen,EG,1.01,4,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
NaturE,EG,0.76,4,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
aspas,MIBR,1.42,5,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
xenom,MIBR,0.99,5,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
Verno,MIBR,0.94,5,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
cortezia,MIBR,0.74,5,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
artzin,MIBR,0.62,5,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
mada,NRG,1.2,5,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
skuba,NRG,1.18,5,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
Ethan,NRG,0.94,5,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
brawk,NRG,0.92,5,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
s0m,NRG,0.89,5,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
aspas,MIBR,1.2,6,https://www.vlr.gg/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf
Verno,MIBR,1.08,6,https://www.vlr.gg/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf
xenom,MIBR,0.91,6,https://www.vlr.gg/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf
artzin,MIBR,0.83,6,https://www.vlr.gg/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf
cortezia,MIBR,0.65,6,https://www.vlr.gg/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf
trent,G2,1.23,6,https://www.vlr.gg/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf
leaf,G2,1.2,6,https://www.vlr.gg/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf
valyn,G2,1.11,6,https://www.vlr.gg/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf
jawgemo,G2,0.9,6,https://www.vlr.gg/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf
JonahP,G2,0.84,6,https://www.vlr.gg/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf
Verno,MIBR,1.08,7,https://www.vlr.gg/475901/mibr-vs-sentinels-champions-tour-2025-americas-stage-1-ubf
xenom,MIBR,1.07,7,https://www.vlr.gg/475901/mibr-vs-sentinels-champions-tour-2025-americas-stage-1-ubf
aspas,MIBR,0.92,7,https://www.vlr.gg/475901/mibr-vs-sentinels-champions-tour-2025-americas-stage-1-ubf
