player_name,team,rating,match_number,match_url
Shao,NAVI,1.03,1,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
hiro,NAVI,1.02,1,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
Ruxic,NAVI,0.94,1,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
ANGE1,NAVI,0.85,1,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
alexiiik,NAVI,0.53,1,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
Proxh,M8,1.32,1,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
Minny,M8,1.11,1,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
ComeBack,M8,1.06,1,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
Veqaj,M8,1.04,1,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
kamyk,M8,0.92,1,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
alexiiik,NAVI,1.62,2,https://www.vlr.gg/509286/natus-vincere-vs-ulf-esports-btcturk-gamefest-main-event-sf
Ruxic,NAVI,1.5,2,https://www.vlr.gg/509286/natus-vincere-vs-ulf-esports-btcturk-gamefest-main-event-sf
hiro,NAVI,1.24,2,https://www.vlr.gg/509286/natus-vincere-vs-ulf-esports-btcturk-gamefest-main-event-sf
Shao,NAVI,1.21,2,https://www.vlr.gg/509286/natus-vincere-vs-ulf-esports-btcturk-gamefest-main-event-sf
ANGE1,NAVI,0.73,2,https://www.vlr.gg/509286/natus-vincere-vs-ulf-esports-btcturk-gamefest-main-event-sf
Favian,ULF,0.89,2,https://www.vlr.gg/509286/natus-vincere-vs-ulf-esports-btcturk-gamefest-main-event-sf
audaz,ULF,0.76,2,https://www.vlr.gg/509286/natus-vincere-vs-ulf-esports-btcturk-gamefest-main-event-sf
echo,ULF,0.66,2,https://www.vlr.gg/509286/natus-vincere-vs-ulf-esports-btcturk-gamefest-main-event-sf
s0pp,ULF,0.64,2,https://www.vlr.gg/509286/natus-vincere-vs-ulf-esports-btcturk-gamefest-main-event-sf
nekky,ULF,0.63,2,https://www.vlr.gg/509286/natus-vincere-vs-ulf-esports-btcturk-gamefest-main-event-sf
AtaKaptan,FUT,1.32,3,https://www.vlr.gg/487997/fut-esports-vs-natus-vincere-esports-world-cup-2025-lbf
yetujey,FUT,1.21,3,https://www.vlr.gg/487997/fut-esports-vs-natus-vincere-esports-world-cup-2025-lbf
MrFaliN,FUT,1.13,3,https://www.vlr.gg/487997/fut-esports-vs-natus-vincere-esports-world-cup-2025-lbf
qRaxs,FUT,1.07,3,https://www.vlr.gg/487997/fut-esports-vs-natus-vincere-esports-world-cup-2025-lbf
xeus,FUT,0.75,3,https://www.vlr.gg/487997/fut-esports-vs-natus-vincere-esports-world-cup-2025-lbf
Shao,NAVI,1.14,3,https://www.vlr.gg/487997/fut-esports-vs-natus-vincere-esports-world-cup-2025-lbf
hiro,NAVI,1.08,3,https://www.vlr.gg/487997/fut-esports-vs-natus-vincere-esports-world-cup-2025-lbf
Ruxic,NAVI,1.01,3,https://www.vlr.gg/487997/fut-esports-vs-natus-vincere-esports-world-cup-2025-lbf
ANGE1,NAVI,0.69,3,https://www.vlr.gg/487997/fut-esports-vs-natus-vincere-esports-world-cup-2025-lbf
koalanoob,NAVI,0.6,3,https://www.vlr.gg/487997/fut-esports-vs-natus-vincere-esports-world-cup-2025-lbf
hiro,NAVI,1.47,4,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
koalanoob,NAVI,1.28,4,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
Shao,NAVI,1.09,4,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
Ruxic,NAVI,0.97,4,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
ANGE1,NAVI,0.79,4,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
Veqaj,M8,1.16,4,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
kamyk,M8,0.98,4,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
Zyppan,M8,0.91,4,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
Proxh,M8,0.88,4,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
Minny,M8,0.69,4,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
Shao,NAVI,1.53,5,https://www.vlr.gg/487994/natus-vincere-vs-giantx-esports-world-cup-2025-lr2
koalanoob,NAVI,1.33,5,https://www.vlr.gg/487994/natus-vincere-vs-giantx-esports-world-cup-2025-lr2
Ruxic,NAVI,1.24,5,https://www.vlr.gg/487994/natus-vincere-vs-giantx-esports-world-cup-2025-lr2
hiro,NAVI,0.8,5,https://www.vlr.gg/487994/natus-vincere-vs-giantx-esports-world-cup-2025-lr2
ANGE1,NAVI,0.73,5,https://www.vlr.gg/487994/natus-vincere-vs-giantx-esports-world-cup-2025-lr2
ara,GX,1.11,5,https://www.vlr.gg/487994/natus-vincere-vs-giantx-esports-world-cup-2025-lr2
grubinho,GX,0.96,5,https://www.vlr.gg/487994/natus-vincere-vs-giantx-esports-world-cup-2025-lr2
Cloud,GX,0.94,5,https://www.vlr.gg/487994/natus-vincere-vs-giantx-esports-world-cup-2025-lr2
westside,GX,0.75,5,https://www.vlr.gg/487994/natus-vincere-vs-giantx-esports-world-cup-2025-lr2
Flickless,GX,0.71,5,https://www.vlr.gg/487994/natus-vincere-vs-giantx-esports-world-cup-2025-lr2
hiro,NAVI,1.3,6,https://www.vlr.gg/487990/natus-vincere-vs-karmine-corp-esports-world-cup-2025-ubsf
Ruxic,NAVI,0.84,6,https://www.vlr.gg/487990/natus-vincere-vs-karmine-corp-esports-world-cup-2025-ubsf
ANGE1,NAVI,0.74,6,https://www.vlr.gg/487990/natus-vincere-vs-karmine-corp-esports-world-cup-2025-ubsf
Shao,NAVI,0.73,6,https://www.vlr.gg/487990/natus-vincere-vs-karmine-corp-esports-world-cup-2025-ubsf
koalanoob,NAVI,0.63,6,https://www.vlr.gg/487990/natus-vincere-vs-karmine-corp-esports-world-cup-2025-ubsf
Avez,KC,1.41,6,https://www.vlr.gg/487990/natus-vincere-vs-karmine-corp-esports-world-cup-2025-ubsf
SUYGETSU,KC,1.25,6,https://www.vlr.gg/487990/natus-vincere-vs-karmine-corp-esports-world-cup-2025-ubsf
Elite,KC,1.18,6,https://www.vlr.gg/487990/natus-vincere-vs-karmine-corp-esports-world-cup-2025-ubsf
marteen,KC,1.05,6,https://www.vlr.gg/487990/natus-vincere-vs-karmine-corp-esports-world-cup-2025-ubsf
saadhak,KC,0.9,6,https://www.vlr.gg/487990/natus-vincere-vs-karmine-corp-esports-world-cup-2025-ubsf
Ruxic,NAVI,1.75,7,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
hiro,NAVI,1.21,7,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
Shao,NAVI,1.2,7,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
koalanoob,NAVI,0.75,7,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
ANGE1,NAVI,0.41,7,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
Veqaj,M8,1.06,7,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
Proxh,M8,1.03,7,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
kamyk,M8,0.97,7,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
Minny,M8,0.94,7,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
Zyppan,M8,0.62,7,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
Keiko,TL,1.38,8,https://www.vlr.gg/482509/team-liquid-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-lr2
Serial,TL,1.13,8,https://www.vlr.gg/482509/team-liquid-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-lr2
paTiTek,TL,1.01,8,https://www.vlr.gg/482509/team-liquid-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-lr2
nAts,TL,0.99,8,https://www.vlr.gg/482509/team-liquid-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-lr2
kamo,TL,0.94,8,https://www.vlr.gg/482509/team-liquid-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-lr2
Shao,NAVI,1.13,8,https://www.vlr.gg/482509/team-liquid-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-lr2
hiro,NAVI,0.99,8,https://www.vlr.gg/482509/team-liquid-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-lr2
koalanoob,NAVI,0.8,8,https://www.vlr.gg/482509/team-liquid-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-lr2
ANGE1,NAVI,0.77,8,https://www.vlr.gg/482509/team-liquid-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-lr2
Ruxic,NAVI,0.77,8,https://www.vlr.gg/482509/team-liquid-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-lr2
Ruxic,NAVI,1.15,9,https://www.vlr.gg/482505/natus-vincere-vs-karmine-corp-champions-tour-2025-emea-stage-1-playoffs-lr1
hiro,NAVI,1.1,9,https://www.vlr.gg/482505/natus-vincere-vs-karmine-corp-champions-tour-2025-emea-stage-1-playoffs-lr1
Shao,NAVI,1.0,9,https://www.vlr.gg/482505/natus-vincere-vs-karmine-corp-champions-tour-2025-emea-stage-1-playoffs-lr1
koalanoob,NAVI,0.92,9,https://www.vlr.gg/482505/natus-vincere-vs-karmine-corp-champions-tour-2025-emea-stage-1-playoffs-lr1
ANGE1,NAVI,0.77,9,https://www.vlr.gg/482505/natus-vincere-vs-karmine-corp-champions-tour-2025-emea-stage-1-playoffs-lr1
marteen,KC,1.08,9,https://www.vlr.gg/482505/natus-vincere-vs-karmine-corp-champions-tour-2025-emea-stage-1-playoffs-lr1
Elite,KC,1.03,9,https://www.vlr.gg/482505/natus-vincere-vs-karmine-corp-champions-tour-2025-emea-stage-1-playoffs-lr1
SUYGETSU,KC,1.0,9,https://www.vlr.gg/482505/natus-vincere-vs-karmine-corp-champions-tour-2025-emea-stage-1-playoffs-lr1
Avez,KC,0.99,9,https://www.vlr.gg/482505/natus-vincere-vs-karmine-corp-champions-tour-2025-emea-stage-1-playoffs-lr1
saadhak,KC,0.84,9,https://www.vlr.gg/482505/natus-vincere-vs-karmine-corp-champions-tour-2025-emea-stage-1-playoffs-lr1
sociablEE,BBL,1.33,10,https://www.vlr.gg/482503/bbl-esports-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-ubr1
MAGNUM,BBL,1.15,10,https://www.vlr.gg/482503/bbl-esports-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-ubr1
PROFEK,BBL,0.98,10,https://www.vlr.gg/482503/bbl-esports-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-ubr1
LewN,BBL,0.94,10,https://www.vlr.gg/482503/bbl-esports-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-ubr1
Jamppi,BBL,0.93,10,https://www.vlr.gg/482503/bbl-esports-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-ubr1
koalanoob,NAVI,1.13,10,https://www.vlr.gg/482503/bbl-esports-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-ubr1
Ruxic,NAVI,1.1,10,https://www.vlr.gg/482503/bbl-esports-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-ubr1
Shao,NAVI,1.04,10,https://www.vlr.gg/482503/bbl-esports-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-ubr1
hiro,NAVI,0.93,10,https://www.vlr.gg/482503/bbl-esports-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-ubr1
ANGE1,NAVI,0.34,10,https://www.vlr.gg/482503/bbl-esports-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-ubr1
