player_name,team,rating,match_number,match_url
skuba,NRG,1.07,1,https://www.vlr.gg/510151/nrg-vs-gen-g-esports-world-cup-2025-qf
brawk,NRG,0.97,1,https://www.vlr.gg/510151/nrg-vs-gen-g-esports-world-cup-2025-qf
s0m,NRG,0.81,1,https://www.vlr.gg/510151/nrg-vs-gen-g-esports-world-cup-2025-qf
mada,NRG,0.73,1,https://www.vlr.gg/510151/nrg-vs-gen-g-esports-world-cup-2025-qf
Ethan,NRG,0.67,1,https://www.vlr.gg/510151/nrg-vs-gen-g-esports-world-cup-2025-qf
Munchkin,GEN,1.44,1,https://www.vlr.gg/510151/nrg-vs-gen-g-esports-world-cup-2025-qf
t3xture,GEN,1.19,1,https://www.vlr.gg/510151/nrg-vs-gen-g-esports-world-cup-2025-qf
Foxy9,GEN,1.12,1,https://www.vlr.gg/510151/nrg-vs-gen-g-esports-world-cup-2025-qf
Ash,GEN,0.95,1,https://www.vlr.gg/510151/nrg-vs-gen-g-esports-world-cup-2025-qf
Karon,GEN,0.77,1,https://www.vlr.gg/510151/nrg-vs-gen-g-esports-world-cup-2025-qf
Ethan,NRG,1.39,2,https://www.vlr.gg/510140/nrg-vs-rex-regum-qeon-esports-world-cup-2025-winners-c
skuba,NRG,1.29,2,https://www.vlr.gg/510140/nrg-vs-rex-regum-qeon-esports-world-cup-2025-winners-c
mada,NRG,1.2,2,https://www.vlr.gg/510140/nrg-vs-rex-regum-qeon-esports-world-cup-2025-winners-c
s0m,NRG,1.11,2,https://www.vlr.gg/510140/nrg-vs-rex-regum-qeon-esports-world-cup-2025-winners-c
brawk,NRG,1.07,2,https://www.vlr.gg/510140/nrg-vs-rex-regum-qeon-esports-world-cup-2025-winners-c
Monyet,RRQ,1.02,2,https://www.vlr.gg/510140/nrg-vs-rex-regum-qeon-esports-world-cup-2025-winners-c
Kushy,RRQ,0.79,2,https://www.vlr.gg/510140/nrg-vs-rex-regum-qeon-esports-world-cup-2025-winners-c
crazyguy,RRQ,0.75,2,https://www.vlr.gg/510140/nrg-vs-rex-regum-qeon-esports-world-cup-2025-winners-c
Jemkin,RRQ,0.69,2,https://www.vlr.gg/510140/nrg-vs-rex-regum-qeon-esports-world-cup-2025-winners-c
xffero,RRQ,0.67,2,https://www.vlr.gg/510140/nrg-vs-rex-regum-qeon-esports-world-cup-2025-winners-c
skuba,NRG,1.52,3,https://www.vlr.gg/510138/nrg-vs-team-heretics-esports-world-cup-2025-opening-c
brawk,NRG,1.48,3,https://www.vlr.gg/510138/nrg-vs-team-heretics-esports-world-cup-2025-opening-c
mada,NRG,1.28,3,https://www.vlr.gg/510138/nrg-vs-team-heretics-esports-world-cup-2025-opening-c
Ethan,NRG,1.23,3,https://www.vlr.gg/510138/nrg-vs-team-heretics-esports-world-cup-2025-opening-c
s0m,NRG,1.18,3,https://www.vlr.gg/510138/nrg-vs-team-heretics-esports-world-cup-2025-opening-c
Wo0t,TH,0.92,3,https://www.vlr.gg/510138/nrg-vs-team-heretics-esports-world-cup-2025-opening-c
Boo,TH,0.85,3,https://www.vlr.gg/510138/nrg-vs-team-heretics-esports-world-cup-2025-opening-c
MiniBoo,TH,0.79,3,https://www.vlr.gg/510138/nrg-vs-team-heretics-esports-world-cup-2025-opening-c
benjyfishy,TH,0.59,3,https://www.vlr.gg/510138/nrg-vs-team-heretics-esports-world-cup-2025-opening-c
RieNs,TH,0.34,3,https://www.vlr.gg/510138/nrg-vs-team-heretics-esports-world-cup-2025-opening-c
s0m,NRG,1.31,4,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
brawk,NRG,1.13,4,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
mada,NRG,1.07,4,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
skuba,NRG,1.04,4,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
Ethan,NRG,0.97,4,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
eeiu,100T,1.17,4,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
zander,100T,1.0,4,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
Cryocells,100T,0.95,4,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
Asuna,100T,0.66,4,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
Boostio,100T,0.65,4,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
aspas,MIBR,1.42,5,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
xenom,MIBR,0.99,5,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
Verno,MIBR,0.94,5,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
cortezia,MIBR,0.74,5,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
artzin,MIBR,0.62,5,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
mada,NRG,1.2,5,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
skuba,NRG,1.18,5,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
Ethan,NRG,0.94,5,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
brawk,NRG,0.92,5,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
s0m,NRG,0.89,5,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
OXY,C9,1.01,6,https://www.vlr.gg/488015/cloud9-vs-nrg-esports-world-cup-2025-lbf
v1c,C9,0.93,6,https://www.vlr.gg/488015/cloud9-vs-nrg-esports-world-cup-2025-lbf
mitch,C9,0.89,6,https://www.vlr.gg/488015/cloud9-vs-nrg-esports-world-cup-2025-lbf
Xeppaa,C9,0.78,6,https://www.vlr.gg/488015/cloud9-vs-nrg-esports-world-cup-2025-lbf
neT,C9,0.53,6,https://www.vlr.gg/488015/cloud9-vs-nrg-esports-world-cup-2025-lbf
mada,NRG,1.46,6,https://www.vlr.gg/488015/cloud9-vs-nrg-esports-world-cup-2025-lbf
brawk,NRG,1.25,6,https://www.vlr.gg/488015/cloud9-vs-nrg-esports-world-cup-2025-lbf
