player_name,team,rating,match_number,match_url
yong,DRX.AC,1.17,4,https://www.vlr.gg/473874/drx-academy-vs-rare-atom-gonxt-asia-clash-invitational-sf
ZynX,DRX.AC,1.12,4,https://www.vlr.gg/473874/drx-academy-vs-rare-atom-gonxt-asia-clash-invitational-sf
Flicker,DRX.AC,1.08,4,https://www.vlr.gg/473874/drx-academy-vs-rare-atom-gonxt-asia-clash-invitational-sf
Awayk,DRX.AC,1.08,4,https://www.vlr.gg/473874/drx-academy-vs-rare-atom-gonxt-asia-clash-invitational-sf
Athan,DRX.AC,0.95,4,https://www.vlr.gg/473874/drx-academy-vs-rare-atom-gonxt-asia-clash-invitational-sf
Satoshi,RA,1.25,4,https://www.vlr.gg/473874/drx-academy-vs-rare-atom-gonxt-asia-clash-invitational-sf
miluji tě,RA,1.09,4,https://www.vlr.gg/473874/drx-academy-vs-rare-atom-gonxt-asia-clash-invitational-sf
ZiXuan,RA,1.03,4,https://www.vlr.gg/473874/drx-academy-vs-rare-atom-gonxt-asia-clash-invitational-sf
zhe,RA,0.78,4,https://www.vlr.gg/473874/drx-academy-vs-rare-atom-gonxt-asia-clash-invitational-sf
Guran,RA,0.58,4,https://www.vlr.gg/473874/drx-academy-vs-rare-atom-gonxt-asia-clash-invitational-sf
馬上昏,LM G,0.91,5,https://www.vlr.gg/473872/lm-gaming-vs-rare-atom-gonxt-asia-clash-invitational-qf
Saioz,LM G,0.88,5,https://www.vlr.gg/473872/lm-gaming-vs-rare-atom-gonxt-asia-clash-invitational-qf
Leonz,LM G,0.7,5,https://www.vlr.gg/473872/lm-gaming-vs-rare-atom-gonxt-asia-clash-invitational-qf
bnbnw,LM G,0.43,5,https://www.vlr.gg/473872/lm-gaming-vs-rare-atom-gonxt-asia-clash-invitational-qf
古的貓寧,LM G,0.29,5,https://www.vlr.gg/473872/lm-gaming-vs-rare-atom-gonxt-asia-clash-invitational-qf
Satoshi,RA,1.99,5,https://www.vlr.gg/473872/lm-gaming-vs-rare-atom-gonxt-asia-clash-invitational-qf
miluji tě,RA,1.61,5,https://www.vlr.gg/473872/lm-gaming-vs-rare-atom-gonxt-asia-clash-invitational-qf
ZiXuan,RA,1.25,5,https://www.vlr.gg/473872/lm-gaming-vs-rare-atom-gonxt-asia-clash-invitational-qf
zhe,RA,0.99,5,https://www.vlr.gg/473872/lm-gaming-vs-rare-atom-gonxt-asia-clash-invitational-qf
Guran,RA,0.84,5,https://www.vlr.gg/473872/lm-gaming-vs-rare-atom-gonxt-asia-clash-invitational-qf
UdoTan,GE,1.51,6,https://www.vlr.gg/422759/global-esports-vs-rare-atom-global-esports-face-off-main-event
Kr1stal,GE,1.49,6,https://www.vlr.gg/422759/global-esports-vs-rare-atom-global-esports-face-off-main-event
kellyS,GE,1.41,6,https://www.vlr.gg/422759/global-esports-vs-rare-atom-global-esports-face-off-main-event
Papi,GE,1.28,6,https://www.vlr.gg/422759/global-esports-vs-rare-atom-global-esports-face-off-main-event
yokam,GE,0.84,6,https://www.vlr.gg/422759/global-esports-vs-rare-atom-global-esports-face-off-main-event
Satoshi,RA,0.99,6,https://www.vlr.gg/422759/global-esports-vs-rare-atom-global-esports-face-off-main-event
zhe,RA,0.73,6,https://www.vlr.gg/422759/global-esports-vs-rare-atom-global-esports-face-off-main-event
Minato,RA,0.59,6,https://www.vlr.gg/422759/global-esports-vs-rare-atom-global-esports-face-off-main-event
Yueluo,RA,0.56,6,https://www.vlr.gg/422759/global-esports-vs-rare-atom-global-esports-face-off-main-event
Midnight,RA,0.37,6,https://www.vlr.gg/422759/global-esports-vs-rare-atom-global-esports-face-off-main-event
kawaii,INV,1.57,40,https://www.vlr.gg/221844/invincible-gaming-vs-rare-atom-valorant-champions-2023-china-qualifier-r3
Miracle,INV,1.39,40,https://www.vlr.gg/221844/invincible-gaming-vs-rare-atom-valorant-champions-2023-china-qualifier-r3
Muhemai,INV,1.19,40,https://www.vlr.gg/221844/invincible-gaming-vs-rare-atom-valorant-champions-2023-china-qualifier-r3
Artill,INV,0.96,40,https://www.vlr.gg/221844/invincible-gaming-vs-rare-atom-valorant-champions-2023-china-qualifier-r3
Lyy,INV,0.85,40,https://www.vlr.gg/221844/invincible-gaming-vs-rare-atom-valorant-champions-2023-china-qualifier-r3
Yueluo,RA,1.28,40,https://www.vlr.gg/221844/invincible-gaming-vs-rare-atom-valorant-champions-2023-china-qualifier-r3
Viva,RA,1.02,40,https://www.vlr.gg/221844/invincible-gaming-vs-rare-atom-valorant-champions-2023-china-qualifier-r3
MarT1n,RA,0.82,40,https://www.vlr.gg/221844/invincible-gaming-vs-rare-atom-valorant-champions-2023-china-qualifier-r3
YiHao,RA,0.7,40,https://www.vlr.gg/221844/invincible-gaming-vs-rare-atom-valorant-champions-2023-china-qualifier-r3
Spitfires,RA,0.24,40,https://www.vlr.gg/221844/invincible-gaming-vs-rare-atom-valorant-champions-2023-china-qualifier-r3
MarT1n,RA,1.13,41,https://www.vlr.gg/221182/rare-atom-vs-monarch-effect-valorant-champions-2023-china-qualifier-r2
YiHao,RA,1.11,41,https://www.vlr.gg/221182/rare-atom-vs-monarch-effect-valorant-champions-2023-china-qualifier-r2
Viva,RA,1.07,41,https://www.vlr.gg/221182/rare-atom-vs-monarch-effect-valorant-champions-2023-china-qualifier-r2
Spitfires,RA,0.84,41,https://www.vlr.gg/221182/rare-atom-vs-monarch-effect-valorant-champions-2023-china-qualifier-r2
Yueluo,RA,0.81,41,https://www.vlr.gg/221182/rare-atom-vs-monarch-effect-valorant-champions-2023-china-qualifier-r2
Chaos,ME,1.17,41,https://www.vlr.gg/221182/rare-atom-vs-monarch-effect-valorant-champions-2023-china-qualifier-r2
FFs,ME,1.1,41,https://www.vlr.gg/221182/rare-atom-vs-monarch-effect-valorant-champions-2023-china-qualifier-r2
balua,ME,1.04,41,https://www.vlr.gg/221182/rare-atom-vs-monarch-effect-valorant-champions-2023-china-qualifier-r2
Link,ME,0.92,41,https://www.vlr.gg/221182/rare-atom-vs-monarch-effect-valorant-champions-2023-china-qualifier-r2
Cyah,ME,0.9,41,https://www.vlr.gg/221182/rare-atom-vs-monarch-effect-valorant-champions-2023-china-qualifier-r2
TvirusLuke,DRG,1.12,42,https://www.vlr.gg/219600/dragon-ranger-gaming-vs-rare-atom-valorant-champions-2023-china-qualifier-r1
Nicc,DRG,1.11,42,https://www.vlr.gg/219600/dragon-ranger-gaming-vs-rare-atom-valorant-champions-2023-china-qualifier-r1
Ichiro,DRG,1.07,42,https://www.vlr.gg/219600/dragon-ranger-gaming-vs-rare-atom-valorant-champions-2023-china-qualifier-r1
Zeno,DRG,0.92,42,https://www.vlr.gg/219600/dragon-ranger-gaming-vs-rare-atom-valorant-champions-2023-china-qualifier-r1
PAULTATO,DRG,0.89,42,https://www.vlr.gg/219600/dragon-ranger-gaming-vs-rare-atom-valorant-champions-2023-china-qualifier-r1
MarT1n,RA,1.2,42,https://www.vlr.gg/219600/dragon-ranger-gaming-vs-rare-atom-valorant-champions-2023-china-qualifier-r1
Yueluo,RA,1.16,42,https://www.vlr.gg/219600/dragon-ranger-gaming-vs-rare-atom-valorant-champions-2023-china-qualifier-r1
YiHao,RA,1.03,42,https://www.vlr.gg/219600/dragon-ranger-gaming-vs-rare-atom-valorant-champions-2023-china-qualifier-r1
