player_name,team,rating,match_number,match_url
Jinggg,PRX,1.35,1,https://www.vlr.gg/510150/paper-rex-vs-sentinels-esports-world-cup-2025-qf
PatMen,PRX,1.16,1,https://www.vlr.gg/510150/paper-rex-vs-sentinels-esports-world-cup-2025-qf
something,PRX,1.1,1,https://www.vlr.gg/510150/paper-rex-vs-sentinels-esports-world-cup-2025-qf
f0rsakeN,PRX,0.96,1,https://www.vlr.gg/510150/paper-rex-vs-sentinels-esports-world-cup-2025-qf
d4v41,PRX,0.92,1,https://www.vlr.gg/510150/paper-rex-vs-sentinels-esports-world-cup-2025-qf
N4RRATE,SEN,1.22,1,https://www.vlr.gg/510150/paper-rex-vs-sentinels-esports-world-cup-2025-qf
zekken,SEN,0.97,1,https://www.vlr.gg/510150/paper-rex-vs-sentinels-esports-world-cup-2025-qf
bang,SEN,0.86,1,https://www.vlr.gg/510150/paper-rex-vs-sentinels-esports-world-cup-2025-qf
Zellsis,SEN,0.76,1,https://www.vlr.gg/510150/paper-rex-vs-sentinels-esports-world-cup-2025-qf
johnqt,SEN,0.74,1,https://www.vlr.gg/510150/paper-rex-vs-sentinels-esports-world-cup-2025-qf
HYUNMIN,DRX,1.06,2,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
free1ng,DRX,1.05,2,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
MaKo,DRX,0.57,2,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
BeYN,DRX,0.55,2,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
Flicker,DRX,0.42,2,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
N4RRATE,SEN,1.72,2,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
johnqt,SEN,1.46,2,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
zekken,SEN,1.2,2,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
bang,SEN,1.18,2,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
Zellsis,SEN,1.04,2,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
N4RRATE,SEN,1.25,3,https://www.vlr.gg/510136/sentinels-vs-xi-lai-gaming-esports-world-cup-2025-elim-b
bang,SEN,1.18,3,https://www.vlr.gg/510136/sentinels-vs-xi-lai-gaming-esports-world-cup-2025-elim-b
zekken,SEN,1.15,3,https://www.vlr.gg/510136/sentinels-vs-xi-lai-gaming-esports-world-cup-2025-elim-b
Zellsis,SEN,0.92,3,https://www.vlr.gg/510136/sentinels-vs-xi-lai-gaming-esports-world-cup-2025-elim-b
johnqt,SEN,0.84,3,https://www.vlr.gg/510136/sentinels-vs-xi-lai-gaming-esports-world-cup-2025-elim-b
Viva,XLG,1.22,3,https://www.vlr.gg/510136/sentinels-vs-xi-lai-gaming-esports-world-cup-2025-elim-b
happywei,XLG,1.17,3,https://www.vlr.gg/510136/sentinels-vs-xi-lai-gaming-esports-world-cup-2025-elim-b
hvoya,XLG,0.8,3,https://www.vlr.gg/510136/sentinels-vs-xi-lai-gaming-esports-world-cup-2025-elim-b
coconut,XLG,0.79,3,https://www.vlr.gg/510136/sentinels-vs-xi-lai-gaming-esports-world-cup-2025-elim-b
Rarga,XLG,0.65,3,https://www.vlr.gg/510136/sentinels-vs-xi-lai-gaming-esports-world-cup-2025-elim-b
Zellsis,SEN,1.36,4,https://www.vlr.gg/510133/sentinels-vs-bbl-esports-esports-world-cup-2025-opening-b
zekken,SEN,1.07,4,https://www.vlr.gg/510133/sentinels-vs-bbl-esports-esports-world-cup-2025-opening-b
N4RRATE,SEN,0.8,4,https://www.vlr.gg/510133/sentinels-vs-bbl-esports-esports-world-cup-2025-opening-b
johnqt,SEN,0.64,4,https://www.vlr.gg/510133/sentinels-vs-bbl-esports-esports-world-cup-2025-opening-b
bang,SEN,0.51,4,https://www.vlr.gg/510133/sentinels-vs-bbl-esports-esports-world-cup-2025-opening-b
LewN,BBL,1.54,4,https://www.vlr.gg/510133/sentinels-vs-bbl-esports-esports-world-cup-2025-opening-b
MAGNUM,BBL,1.18,4,https://www.vlr.gg/510133/sentinels-vs-bbl-esports-esports-world-cup-2025-opening-b
sociablEE,BBL,1.03,4,https://www.vlr.gg/510133/sentinels-vs-bbl-esports-esports-world-cup-2025-opening-b
PROFEK,BBL,0.95,4,https://www.vlr.gg/510133/sentinels-vs-bbl-esports-esports-world-cup-2025-opening-b
Jamppi,BBL,0.76,4,https://www.vlr.gg/510133/sentinels-vs-bbl-esports-esports-world-cup-2025-opening-b
N4RRATE,SEN,1.13,5,https://www.vlr.gg/498632/sentinels-vs-fnatic-valorant-masters-toronto-2025-lr2
Zellsis,SEN,1.1,5,https://www.vlr.gg/498632/sentinels-vs-fnatic-valorant-masters-toronto-2025-lr2
bang,SEN,0.96,5,https://www.vlr.gg/498632/sentinels-vs-fnatic-valorant-masters-toronto-2025-lr2
zekken,SEN,0.95,5,https://www.vlr.gg/498632/sentinels-vs-fnatic-valorant-masters-toronto-2025-lr2
johnqt,SEN,0.65,5,https://www.vlr.gg/498632/sentinels-vs-fnatic-valorant-masters-toronto-2025-lr2
Alfajer,FNC,1.31,5,https://www.vlr.gg/498632/sentinels-vs-fnatic-valorant-masters-toronto-2025-lr2
kaajak,FNC,1.07,5,https://www.vlr.gg/498632/sentinels-vs-fnatic-valorant-masters-toronto-2025-lr2
Chronicle,FNC,0.98,5,https://www.vlr.gg/498632/sentinels-vs-fnatic-valorant-masters-toronto-2025-lr2
crashies,FNC,0.94,5,https://www.vlr.gg/498632/sentinels-vs-fnatic-valorant-masters-toronto-2025-lr2
Boaster,FNC,0.77,5,https://www.vlr.gg/498632/sentinels-vs-fnatic-valorant-masters-toronto-2025-lr2
N4RRATE,SEN,1.1,6,https://www.vlr.gg/498625/sentinels-vs-paper-rex-valorant-masters-toronto-2025-ubsf
zekken,SEN,1.06,6,https://www.vlr.gg/498625/sentinels-vs-paper-rex-valorant-masters-toronto-2025-ubsf
bang,SEN,1.02,6,https://www.vlr.gg/498625/sentinels-vs-paper-rex-valorant-masters-toronto-2025-ubsf
johnqt,SEN,0.71,6,https://www.vlr.gg/498625/sentinels-vs-paper-rex-valorant-masters-toronto-2025-ubsf
Zellsis,SEN,0.62,6,https://www.vlr.gg/498625/sentinels-vs-paper-rex-valorant-masters-toronto-2025-ubsf
Jinggg,PRX,1.21,6,https://www.vlr.gg/498625/sentinels-vs-paper-rex-valorant-masters-toronto-2025-ubsf
something,PRX,1.19,6,https://www.vlr.gg/498625/sentinels-vs-paper-rex-valorant-masters-toronto-2025-ubsf
d4v41,PRX,1.11,6,https://www.vlr.gg/498625/sentinels-vs-paper-rex-valorant-masters-toronto-2025-ubsf
PatMen,PRX,1.1,6,https://www.vlr.gg/498625/sentinels-vs-paper-rex-valorant-masters-toronto-2025-ubsf
f0rsakeN,PRX,0.99,6,https://www.vlr.gg/498625/sentinels-vs-paper-rex-valorant-masters-toronto-2025-ubsf
happywei,XLG,1.08,7,https://www.vlr.gg/498621/xi-lai-gaming-vs-sentinels-valorant-masters-toronto-2025-ubqf
Rarga,XLG,0.86,7,https://www.vlr.gg/498621/xi-lai-gaming-vs-sentinels-valorant-masters-toronto-2025-ubqf
coconut,XLG,0.7,7,https://www.vlr.gg/498621/xi-lai-gaming-vs-sentinels-valorant-masters-toronto-2025-ubqf
Viva,XLG,0.61,7,https://www.vlr.gg/498621/xi-lai-gaming-vs-sentinels-valorant-masters-toronto-2025-ubqf
Midi,XLG,0.48,7,https://www.vlr.gg/498621/xi-lai-gaming-vs-sentinels-valorant-masters-toronto-2025-ubqf
zekken,SEN,1.54,7,https://www.vlr.gg/498621/xi-lai-gaming-vs-sentinels-valorant-masters-toronto-2025-ubqf
johnqt,SEN,1.44,7,https://www.vlr.gg/498621/xi-lai-gaming-vs-sentinels-valorant-masters-toronto-2025-ubqf
N4RRATE,SEN,1.14,7,https://www.vlr.gg/498621/xi-lai-gaming-vs-sentinels-valorant-masters-toronto-2025-ubqf
bang,SEN,1.1,7,https://www.vlr.gg/498621/xi-lai-gaming-vs-sentinels-valorant-masters-toronto-2025-ubqf
Zellsis,SEN,1.0,7,https://www.vlr.gg/498621/xi-lai-gaming-vs-sentinels-valorant-masters-toronto-2025-ubqf
whzy,BLG,1.03,8,https://www.vlr.gg/490311/bilibili-gaming-vs-sentinels-champions-tour-2025-masters-toronto-r2-1-0
rushia,BLG,1.03,8,https://www.vlr.gg/490311/bilibili-gaming-vs-sentinels-champions-tour-2025-masters-toronto-r2-1-0
Levius,BLG,0.9,8,https://www.vlr.gg/490311/bilibili-gaming-vs-sentinels-champions-tour-2025-masters-toronto-r2-1-0
nephh,BLG,0.89,8,https://www.vlr.gg/490311/bilibili-gaming-vs-sentinels-champions-tour-2025-masters-toronto-r2-1-0
Knight,BLG,0.66,8,https://www.vlr.gg/490311/bilibili-gaming-vs-sentinels-champions-tour-2025-masters-toronto-r2-1-0
zekken,SEN,1.32,8,https://www.vlr.gg/490311/bilibili-gaming-vs-sentinels-champions-tour-2025-masters-toronto-r2-1-0
Zellsis,SEN,1.16,8,https://www.vlr.gg/490311/bilibili-gaming-vs-sentinels-champions-tour-2025-masters-toronto-r2-1-0
johnqt,SEN,1.03,8,https://www.vlr.gg/490311/bilibili-gaming-vs-sentinels-champions-tour-2025-masters-toronto-r2-1-0
bang,SEN,0.88,8,https://www.vlr.gg/490311/bilibili-gaming-vs-sentinels-champions-tour-2025-masters-toronto-r2-1-0
N4RRATE,SEN,0.84,8,https://www.vlr.gg/490311/bilibili-gaming-vs-sentinels-champions-tour-2025-masters-toronto-r2-1-0
N4RRATE,SEN,1.29,9,https://www.vlr.gg/490308/sentinels-vs-wolves-esports-champions-tour-2025-masters-toronto-r1
johnqt,SEN,1.27,9,https://www.vlr.gg/490308/sentinels-vs-wolves-esports-champions-tour-2025-masters-toronto-r1
bang,SEN,1.07,9,https://www.vlr.gg/490308/sentinels-vs-wolves-esports-champions-tour-2025-masters-toronto-r1
zekken,SEN,1.04,9,https://www.vlr.gg/490308/sentinels-vs-wolves-esports-champions-tour-2025-masters-toronto-r1
Zellsis,SEN,0.93,9,https://www.vlr.gg/490308/sentinels-vs-wolves-esports-champions-tour-2025-masters-toronto-r1
Spring,WOL,1.12,9,https://www.vlr.gg/490308/sentinels-vs-wolves-esports-champions-tour-2025-masters-toronto-r1
SiuFatBB,WOL,1.04,9,https://www.vlr.gg/490308/sentinels-vs-wolves-esports-champions-tour-2025-masters-toronto-r1
Juicy,WOL,0.94,9,https://www.vlr.gg/490308/sentinels-vs-wolves-esports-champions-tour-2025-masters-toronto-r1
Yuicaw,WOL,0.7,9,https://www.vlr.gg/490308/sentinels-vs-wolves-esports-champions-tour-2025-masters-toronto-r1
Lysoar,WOL,0.66,9,https://www.vlr.gg/490308/sentinels-vs-wolves-esports-champions-tour-2025-masters-toronto-r1
johnqt,SEN,1.05,10,https://www.vlr.gg/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf
bang,SEN,0.99,10,https://www.vlr.gg/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf
zekken,SEN,0.96,10,https://www.vlr.gg/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf
N4RRATE,SEN,0.87,10,https://www.vlr.gg/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf
Zellsis,SEN,0.84,10,https://www.vlr.gg/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf
trent,G2,1.35,10,https://www.vlr.gg/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf
valyn,G2,1.11,10,https://www.vlr.gg/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf
leaf,G2,1.0,10,https://www.vlr.gg/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf
jawgemo,G2,0.96,10,https://www.vlr.gg/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf
JonahP,G2,0.94,10,https://www.vlr.gg/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf
Verno,MIBR,1.08,11,https://www.vlr.gg/475901/mibr-vs-sentinels-champions-tour-2025-americas-stage-1-ubf
xenom,MIBR,1.07,11,https://www.vlr.gg/475901/mibr-vs-sentinels-champions-tour-2025-americas-stage-1-ubf
aspas,MIBR,0.92,11,https://www.vlr.gg/475901/mibr-vs-sentinels-champions-tour-2025-americas-stage-1-ubf
cortezia,MIBR,0.87,11,https://www.vlr.gg/475901/mibr-vs-sentinels-champions-tour-2025-americas-stage-1-ubf
artzin,MIBR,0.56,11,https://www.vlr.gg/475901/mibr-vs-sentinels-champions-tour-2025-americas-stage-1-ubf
zekken,SEN,1.49,11,https://www.vlr.gg/475901/mibr-vs-sentinels-champions-tour-2025-americas-stage-1-ubf
johnqt,SEN,1.27,11,https://www.vlr.gg/475901/mibr-vs-sentinels-champions-tour-2025-americas-stage-1-ubf
bang,SEN,1.13,11,https://www.vlr.gg/475901/mibr-vs-sentinels-champions-tour-2025-americas-stage-1-ubf
N4RRATE,SEN,1.13,11,https://www.vlr.gg/475901/mibr-vs-sentinels-champions-tour-2025-americas-stage-1-ubf
Zellsis,SEN,0.48,11,https://www.vlr.gg/475901/mibr-vs-sentinels-champions-tour-2025-americas-stage-1-ubf
trent,G2,1.39,12,https://www.vlr.gg/475900/g2-esports-vs-sentinels-champions-tour-2025-americas-stage-1-ubsf
leaf,G2,1.16,12,https://www.vlr.gg/475900/g2-esports-vs-sentinels-champions-tour-2025-americas-stage-1-ubsf
valyn,G2,1.07,12,https://www.vlr.gg/475900/g2-esports-vs-sentinels-champions-tour-2025-americas-stage-1-ubsf
jawgemo,G2,0.87,12,https://www.vlr.gg/475900/g2-esports-vs-sentinels-champions-tour-2025-americas-stage-1-ubsf
JonahP,G2,0.86,12,https://www.vlr.gg/475900/g2-esports-vs-sentinels-champions-tour-2025-americas-stage-1-ubsf
bang,SEN,1.15,12,https://www.vlr.gg/475900/g2-esports-vs-sentinels-champions-tour-2025-americas-stage-1-ubsf
johnqt,SEN,1.0,12,https://www.vlr.gg/475900/g2-esports-vs-sentinels-champions-tour-2025-americas-stage-1-ubsf
Zellsis,SEN,0.97,12,https://www.vlr.gg/475900/g2-esports-vs-sentinels-champions-tour-2025-americas-stage-1-ubsf
zekken,SEN,0.95,12,https://www.vlr.gg/475900/g2-esports-vs-sentinels-champions-tour-2025-americas-stage-1-ubsf
N4RRATE,SEN,0.72,12,https://www.vlr.gg/475900/g2-esports-vs-sentinels-champions-tour-2025-americas-stage-1-ubsf
zekken,SEN,1.35,13,https://www.vlr.gg/475898/sentinels-vs-cloud9-champions-tour-2025-americas-stage-1-ubr1
bang,SEN,1.18,13,https://www.vlr.gg/475898/sentinels-vs-cloud9-champions-tour-2025-americas-stage-1-ubr1
johnqt,SEN,1.04,13,https://www.vlr.gg/475898/sentinels-vs-cloud9-champions-tour-2025-americas-stage-1-ubr1
Zellsis,SEN,1.03,13,https://www.vlr.gg/475898/sentinels-vs-cloud9-champions-tour-2025-americas-stage-1-ubr1
