player_name,team,rating,match_number,match_url
primmie,TLN,1.2,1,https://www.vlr.gg/489427/talon-vs-t1-esports-world-cup-2025-pacific-x-acl-qualifier-d1
JitBoyS,TLN,1.06,1,https://www.vlr.gg/489427/talon-vs-t1-esports-world-cup-2025-pacific-x-acl-qualifier-d1
Crws,TLN,0.63,1,https://www.vlr.gg/489427/talon-vs-t1-esports-world-cup-2025-pacific-x-acl-qualifier-d1
Killua,TLN,0.62,1,https://www.vlr.gg/489427/talon-vs-t1-esports-world-cup-2025-pacific-x-acl-qualifier-d1
thyy,TLN,0.56,1,https://www.vlr.gg/489427/talon-vs-t1-esports-world-cup-2025-pacific-x-acl-qualifier-d1
iZu,T1,1.63,1,https://www.vlr.gg/489427/talon-vs-t1-esports-world-cup-2025-pacific-x-acl-qualifier-d1
stax,T1,1.12,1,https://www.vlr.gg/489427/talon-vs-t1-esports-world-cup-2025-pacific-x-acl-qualifier-d1
DH,T1,1.05,1,https://www.vlr.gg/489427/talon-vs-t1-esports-world-cup-2025-pacific-x-acl-qualifier-d1
BuZz,T1,1.04,1,https://www.vlr.gg/489427/talon-vs-t1-esports-world-cup-2025-pacific-x-acl-qualifier-d1
Meteor,T1,1.02,1,https://www.vlr.gg/489427/talon-vs-t1-esports-world-cup-2025-pacific-x-acl-qualifier-d1
Killua,TLN,1.15,2,https://www.vlr.gg/489425/talon-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-d1
primmie,TLN,1.02,2,https://www.vlr.gg/489425/talon-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-d1
JitBoyS,TLN,0.8,2,https://www.vlr.gg/489425/talon-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-d1
Crws,TLN,0.78,2,https://www.vlr.gg/489425/talon-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-d1
thyy,TLN,0.46,2,https://www.vlr.gg/489425/talon-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-d1
Papi,GE,1.26,2,https://www.vlr.gg/489425/talon-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-d1
Kr1stal,GE,1.15,2,https://www.vlr.gg/489425/talon-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-d1
yoman,GE,1.12,2,https://www.vlr.gg/489425/talon-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-d1
Deryeon,GE,1.11,2,https://www.vlr.gg/489425/talon-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-d1
UdoTan,GE,0.86,2,https://www.vlr.gg/489425/talon-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-d1
d4v41,PRX,1.47,3,https://www.vlr.gg/489422/paper-rex-vs-talon-esports-world-cup-2025-pacific-x-acl-qualifier-d1
something,PRX,1.26,3,https://www.vlr.gg/489422/paper-rex-vs-talon-esports-world-cup-2025-pacific-x-acl-qualifier-d1
Jinggg,PRX,1.14,3,https://www.vlr.gg/489422/paper-rex-vs-talon-esports-world-cup-2025-pacific-x-acl-qualifier-d1
f0rsakeN,PRX,1.1,3,https://www.vlr.gg/489422/paper-rex-vs-talon-esports-world-cup-2025-pacific-x-acl-qualifier-d1
mindfreak,PRX,1.0,3,https://www.vlr.gg/489422/paper-rex-vs-talon-esports-world-cup-2025-pacific-x-acl-qualifier-d1
JitBoyS,TLN,0.98,3,https://www.vlr.gg/489422/paper-rex-vs-talon-esports-world-cup-2025-pacific-x-acl-qualifier-d1
