player_name,team,rating,match_number,match_url
Chronicle,FNC,1.21,1,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
kaajak,FNC,1.2,1,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
crashies,FNC,1.19,1,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
Alfajer,FNC,0.97,1,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
Boaster,FNC,0.95,1,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
Wo0t,TH,1.03,1,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
RieNs,TH,1.01,1,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
Boo,TH,0.97,1,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
MiniBoo,TH,0.79,1,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
benjyfishy,TH,0.71,1,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
Foxy9,GEN,1.07,2,https://www.vlr.gg/510154/gen-g-vs-team-heretics-esports-world-cup-2025-sf
Munchkin,GEN,0.99,2,https://www.vlr.gg/510154/gen-g-vs-team-heretics-esports-world-cup-2025-sf
Ash,GEN,0.98,2,https://www.vlr.gg/510154/gen-g-vs-team-heretics-esports-world-cup-2025-sf
Karon,GEN,0.93,2,https://www.vlr.gg/510154/gen-g-vs-team-heretics-esports-world-cup-2025-sf
t3xture,GEN,0.9,2,https://www.vlr.gg/510154/gen-g-vs-team-heretics-esports-world-cup-2025-sf
RieNs,TH,1.2,2,https://www.vlr.gg/510154/gen-g-vs-team-heretics-esports-world-cup-2025-sf
Boo,TH,1.13,2,https://www.vlr.gg/510154/gen-g-vs-team-heretics-esports-world-cup-2025-sf
Wo0t,TH,1.1,2,https://www.vlr.gg/510154/gen-g-vs-team-heretics-esports-world-cup-2025-sf
benjyfishy,TH,0.83,2,https://www.vlr.gg/510154/gen-g-vs-team-heretics-esports-world-cup-2025-sf
MiniBoo,TH,0.79,2,https://www.vlr.gg/510154/gen-g-vs-team-heretics-esports-world-cup-2025-sf
Jamppi,BBL,1.01,3,https://www.vlr.gg/510152/bbl-esports-vs-team-heretics-esports-world-cup-2025-qf
MAGNUM,BBL,0.75,3,https://www.vlr.gg/510152/bbl-esports-vs-team-heretics-esports-world-cup-2025-qf
sociablEE,BBL,0.65,3,https://www.vlr.gg/510152/bbl-esports-vs-team-heretics-esports-world-cup-2025-qf
PROFEK,BBL,0.48,3,https://www.vlr.gg/510152/bbl-esports-vs-team-heretics-esports-world-cup-2025-qf
LewN,BBL,0.37,3,https://www.vlr.gg/510152/bbl-esports-vs-team-heretics-esports-world-cup-2025-qf
Wo0t,TH,1.93,3,https://www.vlr.gg/510152/bbl-esports-vs-team-heretics-esports-world-cup-2025-qf
RieNs,TH,1.26,3,https://www.vlr.gg/510152/bbl-esports-vs-team-heretics-esports-world-cup-2025-qf
