player_name,team,rating,match_number,match_url
Jinggg,PRX,1.25,2,https://www.vlr.gg/489434/paper-rex-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-sf
mindfreak,PRX,1.21,2,https://www.vlr.gg/489434/paper-rex-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-sf
f0rsakeN,PRX,1.12,2,https://www.vlr.gg/489434/paper-rex-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-sf
something,PRX,1.01,2,https://www.vlr.gg/489434/paper-rex-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-sf
d4v41,PRX,1.0,2,https://www.vlr.gg/489434/paper-rex-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-sf
ZesBeeW,TS,1.23,2,https://www.vlr.gg/489434/paper-rex-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-sf
invy,TS,1.03,2,https://www.vlr.gg/489434/paper-rex-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-sf
kellyS,TS,0.96,2,https://www.vlr.gg/489434/paper-rex-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-sf
Wild0reoo,TS,0.72,2,https://www.vlr.gg/489434/paper-rex-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-sf
n1zzy,TS,0.49,2,https://www.vlr.gg/489434/paper-rex-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-sf
MaKo,DRX,1.6,3,https://www.vlr.gg/489432/drx-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
BeYN,DRX,1.57,3,https://www.vlr.gg/489432/drx-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
free1ng,DRX,1.13,3,https://www.vlr.gg/489432/drx-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
Estrella,DRX,0.73,3,https://www.vlr.gg/489432/drx-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
HYUNMIN,DRX,0.42,3,https://www.vlr.gg/489432/drx-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
invy,TS,1.07,3,https://www.vlr.gg/489432/drx-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
kellyS,TS,0.88,3,https://www.vlr.gg/489432/drx-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
ZesBeeW,TS,0.82,3,https://www.vlr.gg/489432/drx-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
n1zzy,TS,0.63,3,https://www.vlr.gg/489432/drx-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
Wild0reoo,TS,0.58,3,https://www.vlr.gg/489432/drx-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
BerserX,BME,1.4,4,https://www.vlr.gg/489431/boom-esports-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
NcSlasher,BME,1.16,4,https://www.vlr.gg/489431/boom-esports-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
dos9,BME,1.05,4,https://www.vlr.gg/489431/boom-esports-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
Shiro,BME,0.97,4,https://www.vlr.gg/489431/boom-esports-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
