player_name,team,rating,match_number,match_url
stew,JDG,1.38,1,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
kklin,JDG,0.95,1,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
Z1yan,JDG,0.87,1,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
jkuro,JDG,0.82,1,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
Babyblue,JDG,0.75,1,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
MarT1n,TE,1.28,1,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
Kai,TE,1.24,1,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
FengF,TE,1.11,1,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
LuoK1ng,TE,0.91,1,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
Biank,TE,0.63,1,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
whzy,BLG,1.55,7,https://www.vlr.gg/473240/bilibili-gaming-vs-trace-esports-champions-tour-2025-china-stage-1-lr2
nephh,BLG,1.53,7,https://www.vlr.gg/473240/bilibili-gaming-vs-trace-esports-champions-tour-2025-china-stage-1-lr2
Levius,BLG,1.24,7,https://www.vlr.gg/473240/bilibili-gaming-vs-trace-esports-champions-tour-2025-china-stage-1-lr2
rushia,BLG,1.23,7,https://www.vlr.gg/473240/bilibili-gaming-vs-trace-esports-champions-tour-2025-china-stage-1-lr2
Knight,BLG,0.88,7,https://www.vlr.gg/473240/bilibili-gaming-vs-trace-esports-champions-tour-2025-china-stage-1-lr2
Kai,TE,0.92,7,https://www.vlr.gg/473240/bilibili-gaming-vs-trace-esports-champions-tour-2025-china-stage-1-lr2
Biank,TE,0.87,7,https://www.vlr.gg/473240/bilibili-gaming-vs-trace-esports-champions-tour-2025-china-stage-1-lr2
Midi,TE,0.71,7,https://www.vlr.gg/473240/bilibili-gaming-vs-trace-esports-champions-tour-2025-china-stage-1-lr2
