player_name,team,rating,match_number,match_url
margaret,NS,1.53,2,https://www.vlr.gg/458833/nongshim-redforce-vs-zeta-division-champions-tour-2025-pacific-stage-1-w5
Dambi,NS,1.24,2,https://www.vlr.gg/458833/nongshim-redforce-vs-zeta-division-champions-tour-2025-pacific-stage-1-w5
Ivy,NS,1.1,2,https://www.vlr.gg/458833/nongshim-redforce-vs-zeta-division-champions-tour-2025-pacific-stage-1-w5
Francis,NS,1.04,2,https://www.vlr.gg/458833/nongshim-redforce-vs-zeta-division-champions-tour-2025-pacific-stage-1-w5
Persia,NS,0.82,2,https://www.vlr.gg/458833/nongshim-redforce-vs-zeta-division-champions-tour-2025-pacific-stage-1-w5
Xdll,ZETA,0.95,2,https://www.vlr.gg/458833/nongshim-redforce-vs-zeta-division-champions-tour-2025-pacific-stage-1-w5
SugarZ3ro,ZETA,0.92,2,https://www.vlr.gg/458833/nongshim-redforce-vs-zeta-division-champions-tour-2025-pacific-stage-1-w5
CLZ,ZETA,0.9,2,https://www.vlr.gg/458833/nongshim-redforce-vs-zeta-division-champions-tour-2025-pacific-stage-1-w5
TenTen,ZETA,0.81,2,https://www.vlr.gg/458833/nongshim-redforce-vs-zeta-division-champions-tour-2025-pacific-stage-1-w5
SyouTa,ZETA,0.57,2,https://www.vlr.gg/458833/nongshim-redforce-vs-zeta-division-champions-tour-2025-pacific-stage-1-w5
primmie,TLN,1.19,3,https://www.vlr.gg/458827/talon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w4
Crws,TLN,0.88,3,https://www.vlr.gg/458827/talon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w4
Killua,TLN,0.83,3,https://www.vlr.gg/458827/talon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w4
JitBoyS,TLN,0.69,3,https://www.vlr.gg/458827/talon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w4
thyy,TLN,0.43,3,https://www.vlr.gg/458827/talon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w4
SugarZ3ro,ZETA,1.46,3,https://www.vlr.gg/458827/talon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w4
Xdll,ZETA,1.18,3,https://www.vlr.gg/458827/talon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w4
TenTen,ZETA,1.14,3,https://www.vlr.gg/458827/talon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w4
SyouTa,ZETA,1.12,3,https://www.vlr.gg/458827/talon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w4
CLZ,ZETA,0.9,3,https://www.vlr.gg/458827/talon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w4
crazyguy,RRQ,1.5,4,https://www.vlr.gg/458818/rex-regum-qeon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w3
Kushy,RRQ,1.29,4,https://www.vlr.gg/458818/rex-regum-qeon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w3
Jemkin,RRQ,1.28,4,https://www.vlr.gg/458818/rex-regum-qeon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w3
Monyet,RRQ,1.07,4,https://www.vlr.gg/458818/rex-regum-qeon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w3
xffero,RRQ,0.96,4,https://www.vlr.gg/458818/rex-regum-qeon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w3
Dep,ZETA,0.96,4,https://www.vlr.gg/458818/rex-regum-qeon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w3
CLZ,ZETA,0.76,4,https://www.vlr.gg/458818/rex-regum-qeon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w3
SugarZ3ro,ZETA,0.76,4,https://www.vlr.gg/458818/rex-regum-qeon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w3
SyouTa,ZETA,0.71,4,https://www.vlr.gg/458818/rex-regum-qeon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w3
Xdll,ZETA,0.61,4,https://www.vlr.gg/458818/rex-regum-qeon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w3
invy,TS,1.51,5,https://www.vlr.gg/458811/team-secret-vs-zeta-division-champions-tour-2025-pacific-stage-1-w2
JessieVash,TS,0.98,5,https://www.vlr.gg/458811/team-secret-vs-zeta-division-champions-tour-2025-pacific-stage-1-w2
Wild0reoo,TS,0.92,5,https://www.vlr.gg/458811/team-secret-vs-zeta-division-champions-tour-2025-pacific-stage-1-w2
Jremy,TS,0.87,5,https://www.vlr.gg/458811/team-secret-vs-zeta-division-champions-tour-2025-pacific-stage-1-w2
2GE,TS,0.69,5,https://www.vlr.gg/458811/team-secret-vs-zeta-division-champions-tour-2025-pacific-stage-1-w2
CLZ,ZETA,1.42,5,https://www.vlr.gg/458811/team-secret-vs-zeta-division-champions-tour-2025-pacific-stage-1-w2
